id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16,out_type_17,out_label_17,out_tit_17,out_type_18,out_label_18,out_tit_18,out_type_19,out_label_19,out_tit_19,out_type_20,out_label_20,out_tit_20
40294901,Dejonckheere (2011) 1_2,"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Researcher-designed Science test  - Metacognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38224048,Desoete (2003),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Kortrijk Arithmetic Test for third graders (KRT3)- Metacognition,['Other outcome'],Secondary outcome(s),Kortrijk Arithmetic Test for third graders (KRT3)- Metacognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296611,Dorsett (2014),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,KS2 MathEng Combined (inCAS) - Metacognition PETT,['Other outcome'],Secondary outcome(s),KS2 MathEng Combined (inCAS) - Metacognition TT,['Reading primary outcome'],Secondary outcome(s),KS2 Reading (InCAS) - Metacognition PETT,['Other outcome'],Secondary outcome(s),KS2 MathEng Combined (inCAS) - Metacognition PE,['Other outcome'],Secondary outcome(s),KS2 MathEng Combined (inCAS) - Metacognition PETT (low ach),['Other outcome'],Secondary outcome(s),KS2 Reading (InCAS) - Metacognition TT,['Other outcome'],Secondary outcome(s),KS2 Reading (InCAS) - Metacognition PE,['Mathematics primary outcome'],Secondary outcome(s),KS2 Maths (InCAS) - Metacognition PETT,['Other outcome'],SES/FSM outcome,KS2 MathEng Combined (inCAS) - Metacognition PETT (FSM),['Other outcome'],Secondary outcome(s),KS2 Maths (InCAS) - Metacognition TT,['Other outcome'],Secondary outcome(s),KS2 Maths (InCAS) - Metacognition PE,['Other outcome'],Secondary outcome(s),KS2 Mental arithmetic (InCAS) - Metacognition PETT,['Other outcome'],Secondary outcome(s),KS2 Mental arithmetic (InCAS) - Metacognition TT,['Other outcome'],Secondary outcome(s),KS2 Mental arithmetic (InCAS) - Metacognition PE ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223987,Dresel (2008),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Metacognitive Control AMC vs PC (Point 2 means/SDs),['Other outcome'],Secondary outcome(s),Metacognitive Control AMC vs AC (Point 2 means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223946,Duffy (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT Comprehension (means/SDs) post-tes only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090144,Ehlinger (1988) MSR,"['Toolkit primary outcome', 'Reading primary outcome']",,Retellings-Total,['Other outcome'],Secondary outcome(s),Sentence verification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223850,Ennis (1969),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Conditional logic - metacognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223988,Erktin (2004),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Achievement (Maths),['Other outcome'],Secondary outcome(s),Metacognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294903,Esser (2001) MSR,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MST+AR vs LD Control - Comprehension Quiz Scores,['Other outcome'],Secondary outcome(s),MST+AR vs Non-LD Control - Comprehension Quiz Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223947,Franklin (1993),['Science primary outcome'],Secondary outcome(s),Science sub-test of Metropolitan Achievement Test (MAT6) Form M  (5th grade)- Metacognition,['Other outcome'],Primary outcome,Science sub-test of Metropolitan Achievement Test (MAT6) Form M  (6th grade)- Metacognition,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension subtest of MAT 6 Form M (5th grade) - Metacognition,['Other outcome'],Primary outcome,Reading Comprehension subtest of MAT6 Form M (6th grade) - Metacognition,['Other outcome'],Secondary outcome(s),Social Studies subtest of MAT 6 Form M (5th grade) - Metacognition ,['Other outcome'],Secondary outcome(s),Social Studies subtest of MAT6 Form M (6th grade) - Metacognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
