id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
37091034,King (1983),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SDRT-Reading total ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092606,King (2003),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,VERB FA Science Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092607,Koedinger (2010),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,DIG MCAS (Massachusetts Comprehensive Assessment System) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294919,Kolic-Vehovec (2002) FB,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Accuracy - Reading accuracy,['Other outcome'],Secondary outcome(s),Fluency - Reading fluency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092586,Kozlow (2004),['Other outcome'],Secondary outcome(s),G4: Holistic Score based on Rubic Assessment (4th Grade),['Other outcome'],Secondary outcome(s),G3: Holistic Score based on Rubic Assessment (3rd Grade),['Other outcome'],Secondary outcome(s),G5: Holistic Score based on Rubic Assessment (5th Grade) ,['Other outcome'],Secondary outcome(s),G6: Holistic Score based on Rubic Assessment (6th Grade) ,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Combined Holistic Writing Score (G3-6),['Other outcome'],Secondary outcome(s),G3-6: Holistic Score based on Rubic Assessment (3rd Grade) ,['Other outcome'],Secondary outcome(s),VERB G3 Holistic writing scale ,['Other outcome'],Secondary outcome(s),VERB G4 Holistic writing scale,['Other outcome'],Secondary outcome(s),VERB G5 Holistic writing scale,['Other outcome'],Secondary outcome(s),VERB G6 Holistic writing score,NA,NA,NA
40294920,Kramarski (2009) FB,['Other outcome'],Secondary outcome(s),VERB Procedural Score - Mathematical transfer test,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,VERB Problem Solving Score - Mathematical transfer test,['Other outcome'],Secondary outcome(s),VERB Problem Posing score - Mathematical transfer test,['Other outcome'],Secondary outcome(s),VERB Mathematical explanations - Mathematical transfer test,['Other outcome'],Secondary outcome(s),VERB Solution Accuracy - Authentic mathematical inquiry task,['Other outcome'],Secondary outcome(s),VERB Explanation accuracy - Authentic mathematical inquiry task,['Mathematics primary outcome'],Secondary outcome(s),VERB Explanation quality - Authentic mathematical inquiry task,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37092670,Lacher (1983),['Other outcome'],Secondary outcome(s),VERB Recall test ,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,VERB+GRAPH Recall test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46888303,Lenhard (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,['Other outcome'],Secondary outcome(s),Reading Fluency,['Other outcome'],Secondary outcome(s),Meta-cognitive knowledge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46888095,Llorens (2014) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Literacy for Secondary Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106829,Llorens (2014) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Literacy for Secondary Education,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
