id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
38111430,Block (2006),2006,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111679,Bochna (2006),2006,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111600,Bond (1967) OL,1967,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111474,Bonds (1987),1987,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111475,Bortnem (2005),2005,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
40307487,Bos (1989),1989,NA,"['Reading comprehension strategies', 'Oral language interventions']",,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111431,Bos (1990),1990,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111432,Bos (1992) OL,1992,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111680,Box (1993),1993,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111538,Brabham (2002),2002,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111333,Brady (1990),1990,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111601,Bridge (1983),1983,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111334,Brimmer (2004),2004,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111478,Brooks (2006),2006,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111602,Buckner (1978),1978,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111434,Carney (1984),1984,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
38111338,Carriedo (1995)  OL 1_1,1995,NA,['Oral language interventions'],,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
