id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
41661087,Scarpino (1971),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Anderson fisk posttest f ratio adjusted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661088,Schaefer (1972),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,IOWA Test of Basic Skills (Mathematical Concepts),['Other outcome'],Secondary outcome(s),IOWA Test of Basic Skills (Problem Solving),['Other outcome'],Secondary outcome(s),Post test Mean (Combined Tests),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661089,Shavelson (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science-Indiv. Instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661381,Shinfeld (1973),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,ACS Post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661170,Shumaker (1973),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Stanford Achievement Test (Computation subtest),['Other outcome'],Secondary outcome(s),Stanford Achievement Test (Concepts subtest),['Other outcome'],Secondary outcome(s),Application Sub-test of Stanford Achievement Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661382,Siddiqi (1973),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Educ.Service physics tests - Indiv.Instr.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661383,Simmons (1971),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Biology - Indiv. Instr: Group I,['Other outcome'],Primary outcome,Biology - Indiv.Instru - Group II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661090,Sinks (1968),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths STEP f ratio intervention v control table 13,['Writing and spelling primary outcome.'],Primary outcome,Writing STEP f ratio intervention v control table 11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661384,Slattery (1974),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Biology Regent Exams (Individualized 1970-71 vs Traditional),['Other outcome'],Primary outcome,Biology Regents Exam (Individualized 1971-72 vs Traditional),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099518,Slavin (1983),['Other outcome'],Primary outcome,CTBS Mathematics Computation (f test),['Other outcome'],Secondary outcome(s),CTBS Mathematics Concept and Application (f test),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Overall ES - both CTBS outcomes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134840,Slavin (1984) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,CTBS: Maths - Behav. Interv.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336783,Slavin (1984) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,CTBS Achievement (F test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269869,Slavin (1984) II,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehensive Test of Basic Skills in Math,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269870,Slavin (1985) II,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehensive Test of Basic Skills in Math,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269871,Smith (1974) II,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ITED Language Arts Test ,['Other outcome'],Secondary outcome(s),Composition (Writing),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661243,Smith (2001),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Algebra I SOL Post test Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661122,Spencer (1989),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Chemistry Post test score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661026,Staniskis (1977),['Reading primary outcome'],Secondary outcome(s),California Achievement Test (CMISH vs Non-CMISH),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Last Grade Received in Science,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661244,Stankov (2008),['Toolkit primary outcome'],Primary outcome,Combined outcome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661388,Summerlin (1971),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Content Test,['Other outcome'],Secondary outcome(s),Content Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661029,Summerlin (1973),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Post test Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661092,Sutton (1967),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Arithm. Found. - Indiv. Instruct,['Other outcome'],Secondary outcome(s),Arithm Reasoning - Indiv.Instruct.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661390,Swanson (1977),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Chemistry test posttest keller v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661172,Tack (1972),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Achievement Test (Grade two)- word knowledge,['Mathematics primary outcome'],Primary outcome,Wide Range Achievement Test (Grade 1)- Arithmetic Computation,['Other outcome'],Secondary outcome(s),Metropolitan Achievement Test (Grade 3& 4)- Word Knowledge,['Other outcome'],Secondary outcome(s),Metropolitan Achievement Test (Grade 3& 4)- Arithmetic Computation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099473,Tarim (2008),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Achievement Test (TAI vs Control),['Other outcome'],Secondary outcome(s),Mathematics Achievement Test (TAI vs STAD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661094,Taylor (1972),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Achievement gain scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41661173,Taylor (1972),['Other outcome'],Primary outcome,SAT: Comput - Gr2 - Ind.Ins,['Other outcome'],Secondary outcome(s),SAT: Concepts- Gr2 - Ind.Inst,['Other outcome'],Primary outcome,SAT: Comput - Gr 4 - Ind.Instr,['Other outcome'],Primary outcome,SAT: Comput.-Gr6 - Ind.Inst,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,SAT: Computation_Combined (GR2+GR4+Gr6),['Other outcome'],Secondary outcome(s),SAT: concepts-Gr6 - Ind.Instr,['Other outcome'],Secondary outcome(s),SAT: Applic.-Gr6 - Ind.Inst.,['Other outcome'],Secondary outcome(s),SAT: Concepts - Gr4 - Indiv.Inst,['Other outcome'],Secondary outcome(s),SAT: Applications-Gr4 - Ind.Inst.
