SMD_Outcome_1,SMD_Outcome_2,SMD_Outcome_3,SMD_Outcome_4,SMD_Outcome_5,SMD_Outcome_6,SMD_Outcome_7,SMD_Outcome_8,SMD_Outcome_9,SMD_Outcome_10
0.2122,0.1336,0.5727,-0.338,-0.0163,-0.8192,0.0379,0.9,0.3582,0.8
-0.0208,0.2825,0.1445,0.265,NA,NA,NA,NA,NA,NA
0.3872,0.2595,0.4687,0.5217,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4451,0.2214,NA,NA,NA,NA,NA,NA,NA,NA
0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3412,0.3437,-0.6442,-0.6442,NA,NA,NA,NA,NA,NA
0.9916,0.7896,NA,NA,NA,NA,NA,NA,NA,NA
1.6684,1.6684,NA,NA,NA,NA,NA,NA,NA,NA
2.9423,0.9016,NA,NA,NA,NA,NA,NA,NA,NA
-0.0361,0.0365,-0.0449,NA,NA,NA,NA,NA,NA,NA
3.71,2.05,1.7,4.8,NA,NA,NA,NA,NA,NA
0.1,0.07,NA,NA,NA,NA,NA,NA,NA,NA
0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0441,0.4733,NA,NA,NA,NA,NA,NA,NA,NA
0.8139,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7688,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.751,0.7579,NA,NA,NA,NA,NA,NA,NA,NA
0.5498,0.9652,NA,NA,NA,NA,NA,NA,NA,NA
1.9641,1.9794,1.9279,NA,NA,NA,NA,NA,NA,NA
0.1564,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4839,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.31,0.2,NA,NA,NA,NA,NA,NA,NA,NA
0.7,0.4,NA,NA,NA,NA,NA,NA,NA,NA
0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.74,0.4,NA,NA,NA,NA,NA,NA,NA,NA
0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1202,0.161,0.0,NA,NA,NA,NA,NA,NA,NA
0.6882,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6102,0.2524,NA,NA,NA,NA,NA,NA,NA,NA
-0.3133,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.0717,0.1028,-0.0503,0.0125,0.0606,0.0571,0.0127,-0.075,NA,NA
0.3536,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6564,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9577,1.8138,1.8138,NA,NA,NA,NA,NA,NA,NA
0.926,0.926,1.0393,NA,NA,NA,NA,NA,NA,NA
1.3177,0.9761,0.5495,NA,NA,NA,NA,NA,NA,NA
-0.3233,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2807,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3324,NA,NA,NA,NA,NA,NA,NA,NA,NA
