CI_upper_Outcome_1,CI_upper_Outcome_2,CI_upper_Outcome_3,CI_upper_Outcome_4,CI_upper_Outcome_5,CI_upper_Outcome_6,CI_upper_Outcome_7,CI_upper_Outcome_8,CI_upper_Outcome_9,CI_upper_Outcome_10
0.9418,0.3942,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0452,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0532,0.8169,NA,NA,NA,NA,NA,NA,NA,NA
0.7371,1.2199,1.3006,0.9208,NA,NA,NA,NA,NA,NA
-0.1835,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.5756,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.684,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8989,0.7122,NA,NA,NA,NA,NA,NA,NA,NA
0.9302,0.8502,1.3051,0.3835,0.6994,-0.0697,0.7536,1.684,1.0805,1.584
0.0751,0.4133,0.4221,0.6991,NA,NA,NA,NA,NA,NA
1.2075,1.075,1.253,1.3086,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9339,0.4639,NA,NA,NA,NA,NA,NA,NA,NA
0.0588,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9114,0.914,-0.0627,-0.0627,NA,NA,NA,NA,NA,NA
1.8877,1.6641,NA,NA,NA,NA,NA,NA,NA,NA
2.5154,2.5154,NA,NA,NA,NA,NA,NA,NA,NA
4.2853,1.8319,NA,NA,NA,NA,NA,NA,NA,NA
0.0386,0.1111,0.0299,NA,NA,NA,NA,NA,NA,NA
5.1604,3.128,2.68,6.5248,NA,NA,NA,NA,NA,NA
0.2176,0.1876,NA,NA,NA,NA,NA,NA,NA,NA
0.5721,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6975,1.1466,NA,NA,NA,NA,NA,NA,NA,NA
1.4176,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3604,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2803,1.2875,NA,NA,NA,NA,NA,NA,NA,NA
1.0752,1.5066,NA,NA,NA,NA,NA,NA,NA,NA
2.4022,2.6041,2.5474,NA,NA,NA,NA,NA,NA,NA
0.5432,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0208,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4668,0.3372,NA,NA,NA,NA,NA,NA,NA,NA
1.484,0.988,NA,NA,NA,NA,NA,NA,NA,NA
0.2394,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.072,0.7136,NA,NA,NA,NA,NA,NA,NA,NA
1.384,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3279,0.6094,0.4477,NA,NA,NA,NA,NA,NA,NA
1.4999,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1673,0.7983,NA,NA,NA,NA,NA,NA,NA,NA
0.1278,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1455,0.1767,0.0201,0.0841,0.1566,0.1533,0.1055,0.0161,NA,NA
0.5427,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2737,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.9787,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4799,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.0891,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.9525,2.96,2.96,NA,NA,NA,NA,NA,NA,NA
1.8853,1.8853,2.0134,NA,NA,NA,NA,NA,NA,NA
1.9168,1.5541,0.9395,NA,NA,NA,NA,NA,NA,NA
-0.0757,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.6207,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.6376,NA,NA,NA,NA,NA,NA,NA,NA,NA
