id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_text,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
37133962,Sanderson (1992),1992,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Science primary outcome']",0.1018,0.2502,['Post-test unadjusted (select one from this group)'],TR_PRI Year 9 Tutor Results on Science Test,Primary outcome,With business as usual,['Sample: All'],Science,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.1018,0.2502,NA,NA,NA,32 ,1,NA,['Secondary/High school'],"['13', '14', '15']",NA,NA,"['UK (Select all that apply)', 'England']",['Multisite RCT'],"['Small group/intensive support (3-5)', 'Paired learning']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],12,2,90,['Toolkit: Peer Tutoring']
46844868,Schneck (2010),2010,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.166,0.219,['Pre-post gain'],TE_PRI Mathematics academic test (gain),Primary outcome,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.166,0.219,NA,NA,NA,NA,NA,NA,99,1,NA,"['Middle school', 'Secondary/High school']","['12', '13', '14', '15', '16', '17', '18']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Paired learning']",['Yes (Please specify)'],['Yes'],['No'],['Before/after school'],['Peers'],24,1.5,40,['Toolkit: Peer Tutoring']
40294954,Scruggs (1986) PT 1_1,1986,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.693,0.3597,['Post-test adjusted for baseline attainment'],TR_PRI Criterion Test,Primary outcome,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.693,0.3597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47 ,5,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",10,4,30 ,['Toolkit: Peer Tutoring']
40294955,Scruggs (1986) PT 1_2,1986,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",1.1339,0.3911,['Post-test adjusted for baseline attainment'],REC Criterion Test,Primary outcome,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.1339,0.3911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],['Peers'],8,4,30 ,['Toolkit: Peer Tutoring']
46844870,Shamir (2006),2006,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.504,0.1959,['Post-test unadjusted (select one from this group)'],T&T Maths,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.504,0.1959,NA,NA,NA,NA,NA,NA,108,1,6,['Primary/elementary school'],"['7', '8', '9']",NA,NA,['Israel'],['Individual RCT'],['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Unclear/not specified'],7 ,1,60,['Toolkit: Peer Tutoring']
37093595,Sharpley (1983),1983,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0399,0.122,['Post-test unadjusted (select one from this group)'],T&T - Mathematics Achievement Tutors-PT,Primary outcome,With business as usual,['Sample: All'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.0399,0.122,NA,NA,NA,NA,NA,NA, 152,3,12,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12']",NA,NA,['Australia'],['Cluster RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['Yes'],['During regular school hours '],['Peers'],5 ,4 ,30 ,['Toolkit: Peer Tutoring']
43090193,Shisler (1986) PT,1986,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.363,0.2939,['Post-test adjusted for baseline attainment'],T&T Passage Comprehension,Primary outcome,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.363,0.2939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,['Primary/elementary school'],"['6', '7', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],12 , ,15 ,['Toolkit: Peer Tutoring']
37133964,Siemens (2001),2001,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Science primary outcome']",0.0304,0.2024,['Post-test adjusted for baseline attainment'],TR_PRI Science achievement – cross age tutors,Primary outcome,With business as usual,['Sample: All'],Science,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Science primary outcome']",0.0304,0.2024,NA,NA,NA,98,1,4,['Secondary/High school'],"['15', '16']",FALSE,28.5,['USA'],['Retrospective QED  '],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],6 ,.5, ,['Toolkit: Peer Tutoring']
37093596,Simmons (1995),1995,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5208,0.3053,['Post-test unadjusted (select one from this group)'],TR_PRI Stanford Reading Comprehension,Primary outcome,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5208,0.3053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,4,['Primary/elementary school'],"['7', '8', '9', '10', '11']",NA,NA,['USA'],['Multisite RCT'],"['Large group/class teaching (+6)', 'One to one']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],16 ,3,20,['Toolkit: Peer Tutoring']
37093365,Singh (1981),1981,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5877,0.2059,['Post-test unadjusted (select one from this group)'],T&T Computation,Primary outcome,With business as usual,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5877,0.2059,NA,NA,NA,NA,NA,NA,100,2,4,['Secondary/High school'],"['14', '16', '15', '17']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",9 ,4 ,15 ,['Toolkit: Peer Tutoring']
