id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5
43100124,Nelson (2002),['Mathematics primary outcome'],Secondary outcome(s),CTBS Maths,['Science primary outcome'],Secondary outcome(s),CTBS Science,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS Maths,NA,NA,NA,NA,NA,NA
43100181,O’Donnell (1995),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,California Achievement Test,['Other outcome'],Secondary outcome(s),Grades,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100195,Oyersman (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100447,Prenovost (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT-9 Reading Test (F-test),['Mathematics primary outcome'],Secondary outcome(s),SAT-9 Math (f-test),NA,NA,NA,NA,NA,NA,NA,NA,NA
43100730,Riggs (2006),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Verbal fluency ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100263,Rimm-Kaufman (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,DRP test (grade 2 adjusted posttest means),['Other outcome'],Secondary outcome(s),DRP Test (grade 3 adjusted posttest),['Other outcome'],Secondary outcome(s),DRP Test (Grade 4 adjusted posttest mean),NA,NA,NA,NA,NA,NA
43100142,Roseberry (1997),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Counselor Grades,['Other outcome'],Secondary outcome(s),Teachers Grade,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100760,Schonfeld (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,State Master Test Reading (Grade 4),['Writing and spelling primary outcome.'],Primary outcome,State Mastery Test Writing (Grade 5),['Mathematics primary outcome'],Secondary outcome(s),State Mastery Test Mathematics (Grade 4),NA,NA,NA,NA,NA,NA
38296680,Sloan (2018),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Y2 Reading Comprehension (HGRT) - SEL,['Other outcome'],SES/FSM outcome,Y2 Reading Comprehension (HGRT) - SEL (FSM),['Other outcome'],Secondary outcome(s),Y2 Self-regulated learning (LBS) - SEL,['Other outcome'],Secondary outcome(s),Y2 Self-regulated learning (LBS) - SEL (FSM),NA,NA,NA
40134418,Snyder (2010),['Mathematics primary outcome'],Secondary outcome(s),SAT 9-Math (posttest),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT 9-Reading Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100770,Snyder (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Standard Test Reading,['Mathematics primary outcome'],Secondary outcome(s),Standard Test Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100738,Solomon (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading (Combined),['Mathematics primary outcome'],Secondary outcome(s),Math (Combined),['Other outcome'],Secondary outcome(s),Social Studies (Combined),['Science primary outcome'],Secondary outcome(s),Science (Combined),NA,NA,NA
43100696,Stevahn (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Academic Achievement Measures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100692,Stevahn (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Academic Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100701,Stevahn (2002),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Social study test,['Other outcome'],Secondary outcome(s),English test,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100534,Tobias (1999),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,School Grades (posttest means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100714,Twemlow (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MAT Reading,['Mathematics primary outcome'],Secondary outcome(s),MAT Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA
