id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
45336742,Guastello (2001) PE,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Rubric score - Parental engagement - parental group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025141,Hampton (1998),['Other outcome'],Primary outcome,CBTS: Reading -  Parental Engag. ,['Other outcome'],Secondary outcome(s),CBTS: Mathematics - Parental Engag.,['Other outcome'],Primary outcome,TERRA NOVA - Reading - Parental Engag.,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading ES - CTS & Terra Nova,['Mathematics primary outcome'],Secondary outcome(s),Maths ES - CTS & Terra Nova,['Other outcome'],Secondary outcome(s),TERRA NOVA: Maths - Parental Eng.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025474,Hannon (1987),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NFER Reading Test A,['Other outcome'],Secondary outcome(s),Young's Group Reading Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025518,Heller (1993),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Computation Maths RPT + PI v RPT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336749,Henderson (1982) PE,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SCORES FOR THE READING COMPREHENSION TEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025142,Henry (1974),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Word in context,['Other outcome'],Secondary outcome(s),Isolated Words,['Other outcome'],Secondary outcome(s),Naming Letters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025212,Henry (1974),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Naming Letters,['Other outcome'],Secondary outcome(s),Isolated Words,['Other outcome'],Secondary outcome(s),Words in Context,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025143,Hewison (1988),['Other outcome'],Primary outcome,London Reading Test (School 1) - Parental engagement,['Other outcome'],Primary outcome,London Reading Test (School 2) - Parental engagement,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,London Reading (School 1+2 Combined) - PE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024832,Highberger (1973),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Peabody Picture Vocabulary Test - Parental Engagement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025144,Hirst (1972),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates McGinitie -compreh- Parental Eng.,['Other outcome'],Secondary outcome(s),Gates McGinitie: vocab. - Parental Eng.,['Other outcome'],Secondary outcome(s),SAT: word study - Parental Engagm.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296625,Husain (2016),['Other outcome'],Primary outcome,KS2 Maths (InCAS) - Parental Engagement - incentivised,['Other outcome'],Primary outcome,KS2 Maths (InCAS) - Parental engagement - unincentivised,['Other outcome'],Secondary outcome(s),KS2 Reading (InCAS) - Parental Engagement - incentivised,['Other outcome'],Secondary outcome(s),KS2 Reading (InCAS) - Parental Engagement - unincentivised,['Reading primary outcome'],Secondary outcome(s),KS2 Reading Overall ES,['Other outcome'],SES/FSM outcome,KS2 Maths (InCAS) - Parental Engagement - incentivised (FSM),['Other outcome'],SES/FSM outcome,KS2 Maths (InCAS) - Parental Engagement - unincentivised (FSM),['Other outcome'],SES/FSM outcome,KS2 Reading (InCAS) - Parental Engagement - incentivised (FSM),['Other outcome'],SES/FSM outcome,KS2 Reading (InCAS) - Parental Engagement - unincentivised (FSM),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,KS2 Maths Overall ES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025475,Jordan (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAP Language Posttest,['Other outcome'],Primary outcome,CAP Sound Posttest,['Other outcome'],Primary outcome,CAP Print Postest,['Other outcome'],Primary outcome,Peabody Postest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025422,Justice (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Words in Print,['Other outcome'],Secondary outcome(s),Alphabet Knowledge,['Other outcome'],Secondary outcome(s),Word Segmentation,['Other outcome'],Secondary outcome(s),Print Recognition,['Other outcome'],Secondary outcome(s),Print Concepts,['Other outcome'],Secondary outcome(s),Words in Print ,['Other outcome'],Secondary outcome(s),Alphabet Knowledge,['Other outcome'],Secondary outcome(s),Word Segmentation,['Other outcome'],Secondary outcome(s),Print Recognition,['Other outcome'],Secondary outcome(s),Print Concepts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025439,Kiesner (1997),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Quiz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42064877,Kim (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ITBS Posttest Adjusted for pretest covariate,['Other outcome'],Secondary outcome(s),ITBS Postest Adjusted for pretest Books and Parents v Books only,['Other outcome'],Secondary outcome(s),DIBELS Postest adjusted Books and Parents v Control,['Other outcome'],Secondary outcome(s),DIBELS Postest adjusted Books and Parents v Books only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42064876,Kim (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Pot-Test Comprehension scores (GMRT)(Family Literacy v Control),['Other outcome'],Primary outcome,Pot-Test Total reading scores (GMRT)(Family Literacy v Control)	,['Other outcome'],Secondary outcome(s),Post-Test Vocabulary scores (GMRT)(Family Literacy v Active Control)	,['Other outcome'],Primary outcome,Post-Test Vocabulary scores (GMRT)(Family Literacy v Control)	,['Other outcome'],Secondary outcome(s),Post-Test Total reading scores (GMRT)(Family Literacy v Active Control)	,['Other outcome'],Secondary outcome(s),Post-Test Vocabulary scores (GMRT)(Family Literacy v Active Control)	,['Other outcome'],Secondary outcome(s),Post-Test comprehension scores (GMRT)(Family Literacy v Nonattending),['Other outcome'],Secondary outcome(s),Post-Test vocabulary scores (GMRT)(Family Literacy v Nonattending)	,['Other outcome'],Secondary outcome(s),Post-Test Total Reading scores (GMRT)(Family Literacy v Nonattending)	,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42059811,Koh (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CBTS– Gr1-Grp A: Reading: Parental Engag.,['Other outcome'],Secondary outcome(s),CBTS– Gr1-Grp A: Language - Parental Engag.,['Other outcome'],Primary outcome,CBTS– Gr1-Grp B:Reading - Parental Eng.,['Other outcome'],Primary outcome,CBTS: Gr1-Grp C: Reading-Parental Engag.,['Other outcome'],Secondary outcome(s),CBTS:Gr1-Grp C: Language - Parental Eng.,['Other outcome'],Secondary outcome(s),CBTS: Gr1-Grp C: Maths- Parental Eng.,['Other outcome'],Secondary outcome(s),CBTS: Gr1-Grp B: Language- Parental Eng.,['Other outcome'],Secondary outcome(s),CBTS: Gr1-Grp B: Maths - Parental Eng.,['Mathematics primary outcome'],Secondary outcome(s),CBTS– Gr1-Grp A: Maths -Parental Eng.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025146,Kosten (1997),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,California Achievement Test 5 (Science),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025476,Kraft (2001),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,WRMT Word Identification,['Other outcome'],Secondary outcome(s),WRMT Word Attack ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025477,Leach (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Neale - Comprehension - Parental engag.,['Other outcome'],Secondary outcome(s),Neale - Accuracy -Parental engag.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025499,Lonigan (1998),['Other outcome'],Secondary outcome(s),PPVT Posttest adjusted Low compliance Home only v control,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT Posttest adjusted High compliance Home only v control,['Other outcome'],Secondary outcome(s),EOWPVT Posttest adjusted Low compliance Home only v control,['Other outcome'],Secondary outcome(s),EOWPVT Postest adjusted high compliance schools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296639,Lord (2018),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Parental Engagement - reading comprehension KS1,['Mathematics primary outcome'],Secondary outcome(s),Parental Engagement - Arithmatic KS1,['Other outcome'],SES/FSM outcome,FSM Parental Engagement - Reading AND Arithmetic KS1,['Other outcome'],Primary outcome,Parental Engagement - Reading AND Arithmetic KS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024838,McCormick (1986),"['Toolkit primary outcome', 'Other outcome']",,PPVT-R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025500,McElvany (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,HAMLET 3- 4 (Comprehension),['Other outcome'],Secondary outcome(s),Culture Fair Intelligence Test (Vocabulary) ,['Other outcome'],Secondary outcome(s),Fluency ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025441,McGrath (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,English Literature Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025150,McKinney (1975),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics Posttest ,['Reading primary outcome'],Secondary outcome(s),Posttest reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42024898,McQueen (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT (grp I vs III - adjusted means),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025519,Mehran (1988),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS:  reading - Parental Engagm.,['Other outcome'],Secondary outcome(s),WJ: Total reading - Parental Engagm.,['Other outcome'],Secondary outcome(s),WJ: Reading-FU - Parental Engagm.,['Other outcome'],Secondary outcome(s),CTBS: Reading- FU - Parental Engagm.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42025151,Meteyer (1998),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Assigned Maths Grades,['Other outcome'],Secondary outcome(s),Assigned Maths grade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
