id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
37093544,Duff (1974),1974,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.7486,0.3796,['Pre-post gain'],TE Metropolitan Reading achievement change scores,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.7486,0.3796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,['Primary/elementary school'],"['6', '7', '8', '9', '10']",NA,NA,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['Summer/ holiday period'],['Peers'],6,5,35,['Toolkit: Peer Tutoring']
46844851,Durand (2008),2008,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1286,0.3434,['Post-test unadjusted (select one from this group)'],TE All course Grade Score,With business as usual,['Sample: All'],Combined subjects,['Test type: School-developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",-0.1286,0.3434,NA,NA,NA,NA,NA,NA,17,1,2,['Secondary/High school'],"['15', '16']",NA,NA,['USA'],['Prospective QED'],['Paired learning'],['No'],['Yes'],['No'],['During regular school hours '],['Peers'],4 ,5,15 ,['Toolkit: Peer Tutoring']
37133886,Early (1998),1998,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5282,0.12,['Post-test unadjusted (select one from this group)'],T&T TAAS Mathematics - tutors and tutees,With business as usual,['Sample: All'],Mathematics,['Test type: National test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.5282,0.12,NA,NA,NA,NA,NA,NA,189,1,NA,['Secondary/High school'],"['15', '16']",FALSE,15.22,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],2,5,30 ,['Toolkit: Peer Tutoring']
47269794,Eldredge (1988) PT,1988,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",1.146,0.276,['Pre-post gain'],TE Gates Comp,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.146,0.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,5,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Cluster RCT'],['Paired learning'],['No'],['No'],['No'],['During regular school hours '],['Peers'],20,5 , ,['Toolkit: Peer Tutoring']
37093353,Erickson (1972),1972,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0457,0.1623,['Pre-post gain'],T&T McGinite RC,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0457,0.1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,2,"['Primary/elementary school', 'Secondary/High school']","['8', '12']",NA,NA,['USA'],['Regression Discontinuity - not randomised'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Peers']",20,2,30,['Toolkit: Peer Tutoring']
37093472,Fantuzzo (1992),1992,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",1.5376,0.4088,['Post-test adjusted for baseline attainment'],REC Math Computation Test - Reciprocal PT (with rewards),With active control,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",1.5376,0.4088,NA,NA,NA,NA,NA,NA,80,1,5,['Primary/elementary school'],"['10', '11']",TRUE,85.0,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],20,2.5 ,45 ,['Toolkit: Peer Tutoring']
37093471,Fantuzzo (1995),1995,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.342,0.2853,['Post-test adjusted for baseline attainment'],REC Stanford Diagnostic Mathematics Test (RPT & PI v PI),With active control,['Sample: Low achievers'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.342,0.2853,NA,NA,NA,NA,NA,NA,78 ,1,NA,['Primary/elementary school'],"['9', '10', '11', '12']",TRUE,100.0,['USA'],['Individual RCT'],"['Paired learning', 'Other (Explain in notes)']",['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],"['Teaching assistants', 'Other school staff']",10 ,2,45 ,['Toolkit: Peer Tutoring']
37093506,Fisher (2001),2001,['Journal article'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",1.8012,0.3584,['Pre-post gain'],TR Gates MacGintie Reading Comprehension,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.8012,0.3584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,3,3,"['Primary/elementary school', 'Middle school']",['No information provided'],NA,NA,['USA'],['Prospective QED'],['Paired learning'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Peers']",355, , ,['Toolkit: Peer Tutoring']
37133895,Fitz-Gibbon (1990),1990,['Book or book chapter'],['Peer tutoring'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2506,0.2719,['Post-test unadjusted (select one from this group)'],TR Fractions test,With business as usual,['Sample: Average'],Mathematics,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.2506,0.2719,NA,NA,NA,NA,NA,NA,127 ,1,2,"['Secondary/High school', 'Primary/elementary school']","['14', '9', '10']",NA,NA,"['UK (Select all that apply)', 'England']",['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Research staff', 'Peers']",3 ,2,30,['Toolkit: Peer Tutoring']
47269801,Friedman (1990) PT,1990,['Dissertation or thesis'],['Peer tutoring'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5694,0.5212,['Pre-post gain'],TE ITBS & curriculum Reading comp,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,"['Test type: Standardised test ', 'Test type: Researcher developed test']","['Toolkit primary outcome', 'Reading primary outcome']",0.5694,0.5212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,not specified,NA,['Primary/elementary school'],"['7', '8', '9', '10', '11', '12']",NA,NA,['USA'],['Individual RCT'],['Paired learning'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Peers'],12 ,5,10 ,['Toolkit: Peer Tutoring']
