id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
40397363,Burris (2006),2006,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3232,0.1212,['Post-test adjusted for baseline attainment'],ALL_Advanced Placements Exam All Students,With business as usual,['Sample: All'],Mathematics,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,"['Toolkit primary outcome', 'Mathematics primary outcome']",0.3232,0.1212,NA,NA,NA,NA,NA,NA,985,NA,NA,['Secondary/High school'],"['11', '12', '13', '14', '15', '16', '17', '18']",FALSE,13.0,['USA'],['Interrupted time series QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],108,Frequency ad duration not stated but progrmamme implemented in all maths teaching.,Frequency ad duration not stated but progrmamme implemented in all maths teaching.,['Toolkit: Setting or streaming']
40397364,Cartwright (1972) 1_1,1972,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.7462,0.2591,['Post-test unadjusted (select one from this group)'],ALL_MAT Reading (homo vs hetero grade 1),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.7462,0.2591,NA,NA,NA,['Mathematics primary outcome'],-0.1874,0.2506,NA,NA,NA,NA,NA,NA,174,1,2,['Primary/elementary school'],"['6', '7']",NA,NA,"['UK (Select all that apply)', 'USA']",['Individual RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,Students were continuously in the assigned class,['Toolkit: Setting or streaming']
45336722,Cartwright (1972) 1_2,1972,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.45,0.26,['Post-test adjusted for baseline attainment'],ALL_MAT Reading (homo vs hetero grade 2),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.45,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 61 ,1,2,['Primary/elementary school'],"['7', '8']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],72,5,regular full-time schooling,['Toolkit: Setting or streaming']
45336723,Cartwright (1972) 1_3,1972,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.44,0.29,['Post-test adjusted for baseline attainment'],ALL_MAT Reading (grade 3),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.44,0.29,NA,NA,NA,['Mathematics primary outcome'],-0.1604,0.2836,NA,NA,NA,NA,NA,NA,50,1,2,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Individual RCT'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5 ,not specified - regular teaching,['Toolkit: Setting or streaming']
40642394,Daniels (1961) 1_1,1961,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2955,0.1388,['Post-test unadjusted (select one from this group)'],Reading Test,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2955,0.1388,NA,NA,NA,['Mathematics primary outcome'],-0.2481,0.1386,NA,NA,NA,NA,NA,NA,210 ,2,NA,['Primary/elementary school'],"['7', '8', '9']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],144,5,streaming or not therefore constant ,['Toolkit: Setting or streaming']
45336726,Daniels (1961) 1_2,1961,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2515,0.1342,['Post-test unadjusted (select one from this group)'],ALL_Schonell Graded Reading Test,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2515,0.1342,NA,NA,NA,['Mathematics primary outcome'],-0.1947,0.1343,NA,NA,NA,NA,NA,NA,224,2,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['UK (Select all that apply)'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],144,5,Naturally occurring practice - ongoing,['Toolkit: Setting or streaming']
40642396,DeGrow (1964),1964,['Dissertation or thesis'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0815,0.05,['Post-test unadjusted (select one from this group)'],ALL_Reading Score-Combined,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0815,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1890,8,NA,['Primary/elementary school'],"['9', '10', '11', '12']",FALSE,44.0,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,60 ,['Toolkit: Sports participation']
47269792,Duflo (2011) SetS,2011,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Other outcome']",0.139,0.078,['Post-test unadjusted (select one from this group)'],ALL_Short Term Total Score,With business as usual,['Sample: All'],Combined subjects,['Test type: Researcher developed test'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,121,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['Kenya'],['Cluster RCT'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],"['Class teachers', 'External teachers']",72,Not specified,Not specified,['Toolkit: Setting or streaming']
40642407,Flair (1964),1964,['Dissertation or thesis'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1158,0.1111,['Post-test unadjusted (select one from this group)'],ALL_Reading Total,With active control,['Sample: All'],Literacy  reading comprehension,['Test type: National test'],"['Toolkit primary outcome', 'Reading primary outcome']",-0.1158,0.1111,NA,NA,NA,['Mathematics primary outcome'],0.0489,0.111,NA,NA,NA,NA,NA,NA,491,3,13,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],36,5,Ongoing implementation of groupings - the length of each school day for the duration of the school year.,['Toolkit: Setting or streaming']
40642408,Fogelman (1978),1978,['Journal article'],['Setting or streaming'],"['Toolkit primary outcome', 'Reading primary outcome']",0.0067,0.1624,['Post-test adjusted for baseline attainment'],ALL_Overall Reading ES,With active control,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.0067,0.1624,NA,NA,NA,['Mathematics primary outcome'],-0.0109,0.2558,NA,NA,NA,NA,NA,NA,6076,NA,NA,['Secondary/High school'],"['12', '13', '14', '15', '16']",NA,NA,"['UK (Select all that apply)', 'England', 'Scotland', 'Wales']",['Retrospective QED  '],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],['Class teachers'],180,Not specified/NA,Not specified/NA,['Toolkit: Setting or streaming']
