id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand
43099911,Kutrumbos (1993),1993,['Dissertation or thesis'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5,0.3217,['Post-test adjusted for baseline attainment'],KTEA Reading Comprehension - Phonics,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5,0.3217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,6,"['Primary/elementary school', 'Middle school']","['9', '10', '11', '12', '13', '14']",NA,NA,['USA'],['Prospective QED'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Class teachers'],12,4.5,45,['Toolkit: Phonics']
47269827,Laub (1997) Ph,1997,['Dissertation or thesis'],['Phonics'],"['Toolkit primary outcome', 'Other outcome']",0.9121,0.3048,['Post-test unadjusted (select one from this group)'],Assessment of Basic Phonetic Skills (ABPS),With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Researcher developed test'],['Reading primary outcome'],0.4941,0.2937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1,NA,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Prospective QED'],['Other (Explain in notes)'],['Unclear/ Not specified'],['No'],['No'],['Unclear/ not specified'],['Unclear/not specified'],20, , ,['Toolkit: Phonics']
43099801,Leinhardt (1981),1981,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.472,0.061,['Post-test unadjusted (select one from this group)'],Mini Meta Analysis,With business as usual,['Sample: All'],Literacy  reading comprehension,NA,"['Toolkit primary outcome', 'Reading primary outcome']",0.472,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,928,NA,60,['Primary/elementary school'],"['6', '7', '8']",NA,NA,['USA'],['Prospective QED'],['Large group/class teaching (+6)'],['Unclear/ Not specified'],['No'],['No'],['During regular school hours '],['Class teachers'],NA, , ,['Toolkit: Phonics']
43099902,Levy (1997) 1_1,1997,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.7474,0.3282,['Post-test unadjusted (select one from this group)'],Proportion of Words Read Correctly,With active control,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.7474,0.3282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['6', '7', '5']",NA,NA,['Canada'],['Multisite RCT'],"['Large group/class teaching (+6)', 'One to one']",['No'],['No'],['Yes'],['During regular school hours '],['Research staff'],5,5, ,['Toolkit: Phonics']
46325682,Levy (1997) 1_2,1997,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.8433,0.3315,['Post-test unadjusted (select one from this group)'],Proportion of Words Read Correctly,With active control,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Reading primary outcome', 'Other outcome']",3.5898,0.5279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['5', '6', '7']",NA,NA,['Canada'],['Multisite RCT'],['One to one'],['No'],['No'],['Yes'],['During regular school hours '],['Research staff'],5,5, ,['Toolkit: Phonics']
46325683,Levy (1997) 1_3,1997,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4721,0.3211,['Post-test unadjusted (select one from this group)'],Proportion of Words Read Correctly,With active control,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4721,0.3211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,2,NA,"['Nursery school/pre-school', 'Primary/elementary school']","['5', '6', '7']",NA,NA,['Canada'],['Multisite RCT'],['One to one'],['No'],['No'],['No'],['During regular school hours '],['Research staff'],25 ,5, ,['Toolkit: Phonics']
46325684,Levy (1997) 1_4,1997,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",1.4442,0.3204,['Post-test unadjusted (select one from this group)'],Proportion of Words Read Correctly ,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",1.4442,0.3204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,2,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['Canada'],['Multisite RCT'],"['Large group/class teaching (+6)', 'One to one']",['No'],['No'],['Yes'],['During regular school hours '],['Research staff'],5,5, ,['Toolkit: Phonics']
46325685,Levy (1997) 1_5,1997,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",1.4591,0.3211,['Post-test unadjusted (select one from this group)'],Proportion of Words Read Correctly,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",1.4591,0.3211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,16,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['Canada'],['Multisite RCT'],"['Large group/class teaching (+6)', 'One to one']",['Unclear/ Not specified'],['No'],['Yes'],['During regular school hours '],['Research staff'],5,5, ,['Toolkit: Phonics']
46325686,Levy (1997) 1_6,1997,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",1.6431,0.3273,['Post-test unadjusted (select one from this group)'],Proportion of Words Read Correctly,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",1.6431,0.3273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,16,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['Canada'],['Multisite RCT'],"['Large group/class teaching (+6)', 'One to one']",['No'],['No'],['Yes'],['During regular school hours '],['Research staff'],5,5, ,['Toolkit: Phonics']
43099903,Levy (1999) 1_1,1999,['Journal article'],['Phonics'],"['Toolkit primary outcome', 'Reading primary outcome']",4.9718,0.752,['Post-test adjusted for baseline attainment'],Mean Number of Words Read in Retention,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Researcher developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",4.9718,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96 ,17,NA,['Primary/elementary school'],"['7', '8']",NA,NA,['Canada'],['Regression Discontinuity - not randomised'],['One to one'],['No'],['No'],['Yes'],['During regular school hours '],['Research staff'],4 ,5,15 ,['Toolkit: Phonics']
