id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
45336744,Halliwell (1963) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_MAT Reading (Grade 2),['Other outcome'],Secondary outcome(s),ALL_MAT Word Knowledge (Grade 2),['Writing and spelling primary outcome.'],Secondary outcome(s),ALL_MAT Spelling,['Mathematics primary outcome'],Secondary outcome(s),ALL_MAT Total Arithmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336743,Halliwell (1963) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_MAT Reading (Grade 3),['Other outcome'],Secondary outcome(s),ALL_MAT Word Knowledge (Grade 3),['Other outcome'],Secondary outcome(s),ALL_MAT Word Discrimination (Grade 3),['Writing and spelling primary outcome.'],Secondary outcome(s),ALL_MAT Spelling (Grade 3),['Other outcome'],Secondary outcome(s),ALL_MAT Language (Grade 3),['Mathematics primary outcome'],Secondary outcome(s),ALL_MAT Problem Solving (Grade 3),NA,NA,NA,NA,NA,NA
40642416,Hart (1959) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_CAT Reading Gain 4th to 5th grade ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336747,Hart (1959) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_ CAT Reading Gain 5th to 6th Grade,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397433,Hoffer (1991),['Other outcome'],Secondary outcome(s),ALL_Science Achievement (ESCIIRT),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,ALL_Science Achievement (CSCIIRT),['Other outcome'],Secondary outcome(s),ALL_Science Achievement (CMTIIRT) ,['Other outcome'],Secondary outcome(s),ALL_Maths Achievement (EMTIIRT),['Mathematics primary outcome'],Secondary outcome(s),ALL_Maths Achievement (CMTHIRT),['Other outcome'],Secondary outcome(s),ALL_Maths Achievement (CSCIIRT),NA,NA,NA,NA,NA,NA
40642422,Ingram (1960),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Cross Age_ParMeaning -C1 (Control1),['Other outcome'],Secondary outcome(s),ALL_Cross Age_WMeaning -C1 - S&S,['Writing and spelling primary outcome.'],Secondary outcome(s),ALL_Cross Age_Spelling-C1-S&S,['Other outcome'],Secondary outcome(s),ALL_Cross Age_Lang- C1 - S&S,['Other outcome'],Secondary outcome(s),ALL_Cross Age_ParMeaning -C2 - S&S,['Other outcome'],Secondary outcome(s),ALL_Cross Age_WMeaning -C2 - S&S,['Other outcome'],Secondary outcome(s),ALL_Cross Age_Lang -C2 - S&S,['Other outcome'],Secondary outcome(s),ALL_Cross Age_Spelling -C2 -S&S
40642425,Jones (1967),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Cross age_CAT Reading - S&S,['Other outcome'],Secondary outcome(s),ALL_Cross age_Word meaning-S&S,['Other outcome'],Secondary outcome(s),ALL_Cross age_Parag.Mean_S&S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642436,Kline (1963),['Toolkit primary outcome'],Primary outcome,ALL_Composite Score,['Reading primary outcome'],Secondary outcome(s),ALL_English Score,['Other outcome'],Secondary outcome(s),ALL_Social Studies,['Science primary outcome'],Secondary outcome(s),ALL_Science,['Mathematics primary outcome'],Secondary outcome(s),ALL_Mathematics Score,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642437,Koontz (1961),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ALL_Reading (Iowa Test of Basic Skills) - Setting or Streaming,['Mathematics primary outcome'],Secondary outcome(s),ALL_Arithmetic (Iowa Test of Basic Skills) - Setting or Streaming,['Other outcome'],Secondary outcome(s),ALL_Language (Iowa Test of Basic Skills) - Setting or Streaming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642438,Koukeyan (1976) 1_1,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 4 Mathematics Computation - post-test,['Other outcome'],Secondary outcome(s),HIGH_CTBS Grade 4 Mathematics Computation - gain,['Other outcome'],Secondary outcome(s),HIGH_CTBS - Grade 4 Mathematics Concepts - post-test,['Other outcome'],Secondary outcome(s),HIGH_CTBS - Grade 4 Mathematics Concepts - gain,['Other outcome'],Primary outcome,HIGH_CTBS - Grade 4 Mathematics Applications Post-test,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,HIGH_CTBS Overall ES (post-test),['Other outcome'],Secondary outcome(s),HIGH_CTBS - Grade 4 Mathematics Applications Gain,NA,NA,NA
