id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
40134173,Coleman (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CST reading- Beh. Int.,['Mathematics primary outcome'],Secondary outcome(s),CST Maths growth- Beh. Int.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134496,Conduct (1999),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,TOCA-R Cognitive Concentration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134147,Conduct (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Spache Reading - Be. Int.h,['Mathematics primary outcome'],Secondary outcome(s),Maths grades - Beh.Int.,['Writing and spelling primary outcome.'],Secondary outcome(s),Language Arts -Beh.Int.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134500,D'Elio (1982) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Achievement Test  on Reading Comprehension- Behaviour Intervention,['Other outcome'],Secondary outcome(s),Metropolitan Achievement Test (MAT) of Mathematics - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090137,D'Elio (1982) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Achievement Test for Reading Comprehension - Behaviour Intervention,['Other outcome'],Secondary outcome(s),Metropolitan Achievement Test for Mathematics - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090136,D'Elio (1982) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Achievement Test for Reading Comprehension - Behaviour Intervention,['Other outcome'],Secondary outcome(s),Metropolitan Achievement Test of Mathematics - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134513,Dolan (1993) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT reading - ML vs Int. Boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090142,Dolan (1993) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT: Reading -ML vs Int.Girls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090141,Dolan (1993) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT: reading - ML vs Ext. Boys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090140,Dolan (1993) 1_4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT: Reading -ML vs Ext. G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
