id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13
72102392,Nummedal (1971),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+1_ Comprehension ,['Other outcome'],Secondary outcome(s),ESA+2_ Comprehension ,['Mathematics primary outcome'],Secondary outcome(s),ESA+1_ Arithmetic  ,['Other outcome'],Secondary outcome(s),ESA+2_ Arithmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102393,Perry (1999),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+0_Readiness and Math achievement score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102396,Pinkelton (1976),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_Reading Total,"['Mathematics primary outcome', 'Other outcome']",Secondary outcome(s),ESA+0_Mathematics Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102398,Porter (1965),['Other outcome'],Secondary outcome(s),ESA+0_ PPVT M,['Other outcome'],Secondary outcome(s),ESA+0_ PPVT F,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_ PPVT total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71969390,Rosa (2019),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+5_ Reading score (national exam),['Mathematics primary outcome'],Secondary outcome(s),ESA+5_ Maths score (national exam),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71142169,Sammons (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_Pre-reading concept,['Other outcome'],Secondary outcome(s),ESA+0_Early number concept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102408,Seefeldt (1977),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+1_ PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102411,Smith (1968),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_ PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102410,Smith (1970),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+2_ MRT ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102412,Sontag (1969),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+0_ Caldwell-Total,['Other outcome'],Secondary outcome(s),ESA+0_ Caldwell-Associative-Vocabulary,['Mathematics primary outcome'],Secondary outcome(s),ESA+0_ Caldwell-Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102416,Steglich (1965),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,ESA+2_ Grades in Gr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102422,Thorndike (1966),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+2_Grades Reading,['Mathematics primary outcome'],Secondary outcome(s),ESA+2_Grades Arithmetic ,['Writing and spelling primary outcome.'],Secondary outcome(s),ESA+2_Grades Writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102423,Vance (1967),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102424,Vondrak (1996),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,ESA+4_ITBS (Mathematics Score),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77945738,Weiland (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_PPVT: early starting age,['Mathematics primary outcome'],Secondary outcome(s),ESA+0_Maths: early starting age,['Other outcome'],Secondary outcome(s),ESA+0_Letter-Word ID: early starting age,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72102433,Xiang (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,ESA+0_ COR: Language & literacy,['Mathematics primary outcome'],Secondary outcome(s),ESA+0_ COR: Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
