id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8
41683661,Halliwell (1975) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates-McGinitie Reading Total ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106827,Halliwell (1975) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,MacGinitie reading total - ML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683517,James (1969),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Achievement Test (Read General Science Test),['Other outcome'],Secondary outcome(s),Retension (Read General Science Test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296629,Jerrim (2015),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,GL Assessment - PiM 12 test,['Other outcome'],SES/FSM outcome,GL Assessment - PiM 12 test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683615,Jones (1979),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Iowa Test of Basic Skills,['Other outcome'],Secondary outcome(s),Iowa test of Basic Skills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683617,Kersh (1970),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Stanford Binet Concepts,['Other outcome'],Secondary outcome(s),Stanford Binet Applications ,['Other outcome'],Secondary outcome(s),Stanford Binet Criterion ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43381439,Krockover (1970),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,American Chemical Society Cooperative Examination in General Chemistry (ACS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269826,Laney (1996) ML,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Post test score on written understanding of economic concepts ,NA,Secondary outcome(s),Post test score of oral understanding of economic concepts measure ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683619,Lueckemeyer (1981),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,DATV ,['Other outcome'],Secondary outcome(s),DATAB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683524,McKim (1977),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Ability to Select Correct Vocab,['Other outcome'],Secondary outcome(s),Ability to Read and Respond to Questions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683620,Mevarech (1980),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Higher Mental Processes Heuritic No correctives v algorithmic no correctives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683621,Mevarech (1985) 1_1,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehension,NA,Secondary outcome(s),Computation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336765,Mevarech (1985) 1_2,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Comprehension,NA,Secondary outcome(s),Computation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41683622,Mevarech (1986),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Maths Achievement Posttest ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
