id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111644,Coyne (2004),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary Growth test score(taught vocabulary)-oral language,['Other outcome'],Secondary outcome(s),Vocabulary Growth test score(Untaught vocabulary)-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111435,Coyne (2007),['Other outcome'],Secondary outcome(s),Target word measure-direct and extended vocabulary instruction,['Other outcome'],Secondary outcome(s),Peabody Picture Vocabulary Test(PPVT)-direct and extended vocabulary instruction,['Other outcome'],Secondary outcome(s),Metalinguistic awareness-direct and extended vocabulary instruction,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Listening comprehension-direct and extended vocabulary instruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111643,Coyne (2007) 1_1,['Other outcome'],Secondary outcome(s),Expressive Definitions,['Other outcome'],Secondary outcome(s),Receptive Definitions,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Context Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294900,Coyne (2007) 1_2,['Other outcome'],Secondary outcome(s),Expressive definitions,['Other outcome'],Secondary outcome(s),Receptive Definitions,"['Toolkit primary outcome', 'Reading primary outcome', 'Other outcome']",Primary outcome,Context,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111539,Crain-Thoreson (1999) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary accuracy - oral language ,['Other outcome'],Secondary outcome(s),Vocabulary accuracy - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111484,Crevecoeur (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,PPVT-III (Vocabulory Test-Post test means/SDs),['Other outcome'],Secondary outcome(s),TWKM-Vocabulory Knowledge (Post test Means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111436,Dole (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary test score(Part 11)-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111345,Ehlinger (1988) OL,['Other outcome'],Secondary outcome(s),Reading comprehension - oral language,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111346,Englert (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Total Recall Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111347,Englert (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension - Total Recall Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111491,Ewers (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Senechal Vocabulary Test - Adapted (SVT-A),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111288,Feitelson (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Technical Reading - Story listening (means) [ES sign to be flipped],NA,Secondary outcome(s),Reading comprehension - Story listening ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111287,Feitelson (1993),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Listening comprehension - Story text (means),['Other outcome'],Secondary outcome(s),Listening comprehension - story text (F value),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111492,Freeman (2008),['Other outcome'],Primary outcome,Expressive One-Word Picture Vocabulary Test,"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Story Comprehension Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111608,Gallagher (1975),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,General Vocabulary,['Other outcome'],Secondary outcome(s),Common Word Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111355,Glaeser (1998),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TORC-3 (F-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296614,Gorard (2015),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Cognitive Abilities Test 4 (CAT4)  ,['Other outcome'],SES/FSM outcome,FSM Only - Cognitive Abilities Test 4 (CAT4) ,['Reading primary outcome'],Secondary outcome(s),KS1 to KS2 Reading Progress,['Writing and spelling primary outcome.'],Secondary outcome(s),KS1 to KS2 Writing Progress,['Mathematics primary outcome'],Secondary outcome(s),KS1 to KS2 Maths Progress,['Other outcome'],SES/FSM outcome,FSM Only - KS2 Writing Results for Year 5 pupils ,['Other outcome'],SES/FSM outcome,FSM Only - KS2 Maths Results for Year 5 pupils,['Other outcome'],SES/FSM outcome,FSM Only - KS2 Reading Results for Year 5 pupils,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111575,Graup (1985) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111437,Hafner (1965),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"Comprehension ""same school""",['Other outcome'],Secondary outcome(s),"Vocabulary ""different school""",['Other outcome'],Secondary outcome(s),"Comprehension ""different school""	",['Other outcome'],Primary outcome,"Vocabulary ""same school""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111610,Hahn (1966),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671520,Haley (2017),['Other outcome'],Primary outcome,CELF Vocab-post test,['Other outcome'],Primary outcome,APT Information-Post test Score,['Other outcome'],Secondary outcome(s),YARC letter-sound knowledge posttest raw scores,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,YARC Listening Comprehension (reported ES),['Reading primary outcome'],Secondary outcome(s),YARC Early Word Reading (posttest raw scores),['Other outcome'],Secondary outcome(s),YARC Listening Comprehension - Posttest scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296621,Hanley (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,KS2 Reading,['Mathematics primary outcome'],Secondary outcome(s),KS2 Maths,['Other outcome'],SES/FSM outcome,FSM - KS2 Reading,['Other outcome'],SES/FSM outcome,FSM - KS2 Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111647,Hargrave (2000),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,"Peabody Picture Vocabulary Test–Revised (PPVT-R; Dunn & Dunn, 1981) PPVT-T score((Receptive vocabulary)-Dialogic Reading",['Other outcome'],Secondary outcome(s),"Expressive One Word Picture Vocabulary Test–Revised (EOWPVT-R; Gardner,1990)(Expressive vocabulary)-Dialogic Reading",['Reading primary outcome'],Secondary outcome(s),Book Vocabulary test score-Dialogic Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111494,Harvey (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,EVT,['Other outcome'],Secondary outcome(s),PPVT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111495,Hasson (1981),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language ,['Other outcome'],Secondary outcome(s),Reading comprehension - oral language,['Other outcome'],Secondary outcome(s),Aural comprehension - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111363,Hedin (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates MacGinitie 4 (GM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111439,Hoisington (1968),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language ,['Other outcome'],Secondary outcome(s),Vocabulary accuracy - oral language ,['Other outcome'],Secondary outcome(s),Spelling accuracy - oral language ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111577,Howard (1992),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Topic Specific Knowledge (TSK) - Combined schools,['Other outcome'],Secondary outcome(s),Topic Specific Knowledge (TSK) - Southern School,['Other outcome'],Secondary outcome(s),Topic Specific Knowledge (TSK) - Western School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269817,Hyman (1967) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Readiness Test (Percentile Scores) - Oral Language nguage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111440,Jackson (1963),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Cooperative English Test (Gain Scores),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296628,Jay (2017),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Y5 Reading comprehension (PTE) - Oral language,['Other outcome'],SES/FSM outcome,Y5 Reading comprehension (PTE) - Oral language (FSM),['Mathematics primary outcome'],Secondary outcome(s),Y5 Maths (PTM) - Oral language,['Science primary outcome'],Secondary outcome(s),Y5 Science (PTS) - Oral language,['Other outcome'],SES/FSM outcome,Y5 Science (PTS) - Oral language (FSM),['Other outcome'],SES/FSM outcome,Y5 Maths (PTM) - Oral language (FSM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111441,Jones (1984),NA,Primary outcome,Passage Comprehension,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,"Passage Comprehension (adjusted, t & p value)",NA,Primary outcome,Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
