id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14,out_type_15,out_label_15,out_tit_15,out_type_16,out_label_16,out_tit_16
38111649,Justice (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,60 Target Vocabulary Words Test - Overall Gains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111681,Justice (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Print Knowledge (adj for fall score),['Other outcome'],Secondary outcome(s),Print Knolwedge (unadj for fall score),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111442,Kameenui (1982) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),Reading comprehension - oral language (Literal),['Other outcome'],Secondary outcome(s),Reading comprehension - oral language (Inferential),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40294915,Kameenui (1982) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - oral language (Literal),['Other outcome'],Secondary outcome(s),Reading comprehension - oral language (Inferential),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111673,Karweit (1989),NA,Primary outcome,Merill Language Screening Test (PKG),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Merrill Language Screening Test (KG),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111615,Kendrick (1966),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Paragraph Meaning,['Mathematics primary outcome'],Primary outcome,Arithmetic,['Other outcome'],Secondary outcome(s),Word Study,['Other outcome'],Secondary outcome(s),Word Reading,['Other outcome'],Secondary outcome(s),Vocabulary,['Other outcome'],Secondary outcome(s),Spelling,['Other outcome'],SES/FSM outcome,FSM Paragraph Meaning ,['Other outcome'],SES/FSM outcome,FSM Arithmetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111543,Kertoy (1994),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Number of C-Units(Utterances and Responses) Story 1-Spontaneous comments,['Other outcome'],Secondary outcome(s),Number of C-Units(Utterances and Responses) Story 5-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111578,Kim (2002),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Written Essay Variables ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111371,Kinnunen (1995),['Other outcome'],Secondary outcome(s),Coherence score-oral langauge ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Selection (%) score-oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40398942,Kitmitto (2018),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,Science Assessment,['Other outcome'],SES/FSM outcome,FSM - Science Assessment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38111650,Korat (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Vocabulary - oral language,['Other outcome'],Secondary outcome(s),Word recognition - oral language,['Other outcome'],Secondary outcome(s),Phonological awareness - oral language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269824,Kranzer (1988) OL,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Incidental vocabulary learning - Oral Language,['Other outcome'],Secondary outcome(s),Deriving ability - Oral Language,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
