id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40307342,Philbrick (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SS Textbook Reading Assessment (t-test CS vs Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307344,Piercy (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CTBS Reading Comprehension (ANOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307255,Rabren (1994),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Transfer Test (means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307345,Radcliffe (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension tests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307346,Rauenbusch (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Nelson-Denny Comprehension Score - Reading Comprehension Strategies,['Other outcome'],Secondary outcome(s),Reading Comprehension Score - Reading Comprehension Strategies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307350,Salomon (1989),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension (posttest),['Other outcome'],Secondary outcome(s),Reading Comprehension (content vs Control posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307409,Sampson (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Gates MacGinite Reading Test (F-test),['Other outcome'],Secondary outcome(s),Quasi Cloze Comprehension Test (f-test),['Other outcome'],Secondary outcome(s),Gates-MacGinitie Vocabulary subtest (,['Other outcome'],Secondary outcome(s),Gates-MacGinitie Reading Test,['Other outcome'],Secondary outcome(s),Gates MacGinitie Vocab Test,['Other outcome'],Secondary outcome(s),Quasi Cloze Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307438,Sato (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40307351,Shortland-Jones (1986),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SDRT Comprehension Test (ANCOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38223970,Singer (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Criterion referenced post test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
