id,pub_author,pub_year,pub_type_raw,strand_raw,out_out_type_tool,smd_tool,se_tool,out_es_type,out_tit,out_comp,out_samp,out_measure,out_test_type_raw,out_out_type_red,smd_red,se_red,out_out_type_wri,smd_wri,se_wri,out_out_type_math,smd_math,se_math,out_out_type_sci,smd_sci,se_sci,out_out_type_fsm,smd_fsm,se_fsm,sample_analysed_info,school_total_info,class_total_info,int_setting_raw,part_age_raw,fsm_50,fsm_perc_info,loc_country_raw,int_desig_raw,int_approach_raw,int_training_raw,digit_tech_raw,parent_partic_raw,int_when_raw,int_who_raw,int_dur_info,int_freq_info,int_leng_info,out_strand,cl_approach_spec,cl_grp_size,cl_collab_kind,cl_stud_collab,cl_extr_rewards,cl_what_rewards,cl_comp_elem,cl_teacher_role_info,cl_pup_feedback,cl_pup_feedback_who
37671626,Hund-Reid (2008),2008,['Dissertation or thesis'],"['Teaching assistants', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",0.5901,0.4198,['Post-test adjusted for baseline attainment'],TOPEL Phonological Awareness,With business as usual,['Sample: Low achievers'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.5901,0.4198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,9,10,['Primary/elementary school'],"['5', '6']",NA,NA,['Canada'],['Multisite RCT'],"['One to one', 'Small group/intensive support (3-5)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],14,5,20,['Toolkit: Phonics'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671605,Hund-Reid (2013),2013,['Journal article'],"['Teaching assistants', 'Phonics']","['Toolkit primary outcome', 'Reading primary outcome']",1.2,0.41,['Post-test adjusted for baseline attainment'],DIBELS (PSF) Maintenance Test,With business as usual,['Sample: All'],Literacy  decoding/phonics,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.2,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,9,10,['Primary/elementary school'],"['4', '5', '6']",NA,NA,['Canada'],['Multisite RCT'],['Other (Explain in notes)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],14,5,20,"['Toolkit: Small Group Tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671565,Jason (1994),1994,['Technical report'],"['Teaching assistants', 'One to one tuition']","['Toolkit primary outcome', 'Reading primary outcome']",0.5906,0.1985,['Post-test adjusted for baseline attainment'],Reading comprehension grade,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: School-developed test'],"['Toolkit primary outcome', 'Reading primary outcome']",0.5906,0.1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,20,30,['Primary/elementary school'],"['8', '9', '10', '11']",NA,NA,['USA'],['Cluster RCT'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Research staff'],36,2,50,"['Toolkit: One to one tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671627,Jones (2016),2016,['Dissertation or thesis'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.3045,0.1433,['Post-test unadjusted (select one from this group)'],Reading ability- one on one tuition,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.3045,0.1433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,1,6,['Primary/elementary school'],"['6', '7', '8', '9', '10', '11']",NA,NA,['USA'],['Regression Discontinuity - not randomised'],"['Large group/class teaching (+6)', 'Student alone (self-administered)']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Teaching assistants'],36,4,40,"['Toolkit: One to one tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43100933,Lapsely (2002),2002,['Conference paper'],"['Reducing class size', 'Teaching assistants']","['Toolkit primary outcome', 'Reading primary outcome']",-0.2584,0.0578,['Post-test adjusted for baseline attainment AND clustering'],(-10) ISTEP Language,With business as usual,['Sample: All'],Literacy  reading other,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",-0.2584,0.0578,NA,NA,NA,['Mathematics primary outcome'],-0.2356,0.0578,NA,NA,NA,NA,NA,NA,1481,78,NA,['Primary/elementary school'],"['8', '9']",NA,NA,['USA'],['Regression Continuity  - naturally occurring'],['Large group/class teaching (+6)'],['No'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",2,5,300,['Toolkit: Reducing class size'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671606,Lee (2016),2016,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Other outcome']",0.2445,0.1878,['Pre-post gain'],RAPT Bus Story (T Vs C) Post test scores,With business as usual,['Sample: All'],Literacy  speaking and listening/oral language,['Test type: Standardised test '],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,18,NA,['Primary/elementary school'],"['4', '5', '6', '7']",NA,NA,"['UK (Select all that apply)', 'England']",['Cluster RCT'],"['Small group/intensive support (3-5)', 'Large group/class teaching (+6)']",['Yes (Please specify)'],['No'],['No'],['During regular school hours '],"['Class teachers', 'Teaching assistants']",10,3,30,"['Toolkit: One to one tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671566,MacLeod (2007),2007,['Journal article'],['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",1.6016,0.2728,['Pre-post gain'],Reading Recognition ,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",1.6016,0.2728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,7,NA,"['Primary/elementary school', 'Secondary/High school']","['6', '7', '8', '9', '10', '11', '12', '13']",NA,NA,"['UK (Select all that apply)', 'England']",['Prospective QED'],"['Student alone (self-administered)', 'One to one']",['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Teaching assistants'],10,2,13,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671568,McNally (2016) 1_1,2016,['Technical report'],"['Teaching assistants', 'Small group tuition']","['Toolkit primary outcome', 'Reading primary outcome']",0.231,0.001,['Post-test adjusted for baseline attainment AND clustering'],Progress in Reading Assessment (PIRA) TA only,With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.231,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1901,50,1,['Primary/elementary school'],"['5', '6']",FALSE,20.0,"['UK (Select all that apply)', 'England']",['Multisite RCT'],['Small group/intensive support (3-5)'],['Yes (Please specify)'],['Yes'],['No'],['During regular school hours '],['Teaching assistants'],20,4,15,"['Toolkit: Small Group Tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671570,Merrell (2015),2015,['Technical report'],"['Teaching assistants', 'Phonics', 'Small group tuition']","['Toolkit primary outcome', 'Reading primary outcome']",0.43,0.21,['Post-test adjusted for baseline attainment AND clustering'],Y7 Reading (NGRT) - Phonics Teaching assistants ,With business as usual,['Sample: Low achievers'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.43,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310,6,NA,['Secondary/High school'],"['11', '12']",FALSE,46.3,"['UK (Select all that apply)', 'England']",['Multisite RCT'],['Large group/class teaching (+6)'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['External teachers'],11,2,60,"['Toolkit: Phonics', 'Toolkit: Small Group Tuition', 'Toolkit: Teaching assistants']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671572,Miller (2003),2003,NA,['Teaching assistants'],"['Toolkit primary outcome', 'Reading primary outcome']",0.4114,0.2043,['Post-test unadjusted (select one from this group)'],MAT - Comprehension - PiR vs (RR + Control),With business as usual,['Sample: All'],Literacy  reading comprehension,['Test type: Standardised test '],"['Toolkit primary outcome', 'Reading primary outcome']",0.4114,0.2043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174,1,NA,['Primary/elementary school'],"['6', '7']",NA,NA,['USA'],['Prospective QED'],['One to one'],['Yes (Please specify)'],['No'],['No'],['During regular school hours '],['Teaching assistants'],72,4,40,['Toolkit: Teaching assistants'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
