id,pub_author,pub_year,strand_raw,strand_info,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
37671562,Hatcher (2006),2006,"['Teaching assistants', 'Phonics']",NA,['Yes'],NA,NA,,"['Page 3:\n[¬s]""39/42 children completed\nintervention and were included in\nanalysis[¬e]""']",39,,"['Page 4:\n[¬s]""79.49[¬e]""']",79.49,,"['Page 4:\n[¬s]""(4.32)[¬e]""']",4.32,,"['Page 4:\n[¬s]""84.08[¬e]""']",84.08,,"['Page 4:\n[¬s]""(7.91)[¬e]""']",7.91,,NA,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""38/42 children completed\nintervention and were included in\nanalysis[¬e]""']",38,,"['Page 4:\n[¬s]""82.11 ([¬e]""']",82.11,,"['Page 4:\n[¬s]""(6.35)[¬e]""']",6.35,,"['Page 4:\n[¬s]""82.97[¬e]""']",82.97,,"['Page 4:\n[¬s]""(9.79)[¬e]""']",9.79,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 2:\n[¬s]""(t3, mean age\n6.26 years, end of Summer term).""\n""and then 10 weeks after\nthe start of the second intervention (t3[¬e]""']",NA,
43099983,Hempenstall (2008),2008,['Phonics'],NA,['Yes'],NA,NA,,NA,134,,NA,10.16,,NA,6.45,,NA,19.54,,NA,8.18,,NA,NA,,NA,NA,,NA,NA,,NA,72,,NA,11.38,,NA,6.77,,NA,12.31,,NA,6.96,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
47269815,Herrera (2011) Ph,2011,['Phonics'],NA,['Yes'],NA,NA,,"['Page 4:\n[¬s]""32 children in the experimental group that\nreceived phonological training with music (15 native Spanish speakers)[¬e]""']",15,,NA,NA,,NA,NA,,"['Page 9:\n[¬s]""56.64[¬e]""']",56.64,,"['Page 9:\n[¬s]""6.82[¬e]""']",6.82,,NA,NA,,NA,NA,,NA,NA,,"['Page 4:\n[¬s]""31 in the control\ngroup (16 native Spanish speakers) who did not receive any specialized training[¬e]""']",16,,NA,NA,,NA,NA,,"['Page 9:\n[¬s]""42.10[¬e]""']",42.1,,"['Page 9:\n[¬s]""10.90[¬e]""']",10.9,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 9:\n[¬s]""Posttest 2""\n""Posttest 3[¬e]""']",NA,
37671626,Hund-Reid (2008),2008,"['Teaching assistants', 'Phonics']",NA,['Yes'],"['Page 93:\n[¬s]""Figure 5. Children\'s Performance on the Nonsense Word Fluency Measure from Pre- intervention to Maintenance Probe 2.[¬e]""']",Primary Outcome - Nonsense Word Fluency as closest measure to reading comprehension with full data available. Data from Figure 5 (means but no SD).,,NA,22,,NA,3,,NA,NA,,NA,15,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,8,,NA,1,,NA,NA,,NA,4,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
37671605,Hund-Reid (2013),2013,"['Teaching assistants', 'Phonics']",NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
43099908,Hurford (1994),1994,['Phonics'],NA,['Yes'],NA,NA,,"['Page 3:\n[¬s]""27""\n""22[¬e]""']",49,,"['Page 3:\n[¬s]""81.7""\n""76.6""\n""80.5""\n""76.1[¬e]""']",78.77,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,"['Page 3:\n[¬s]""26""\n""24[¬e]""']",50,,"['Page 3:\n[¬s]""81.7""\n""74.1""\n""76.8""\n""75.5[¬e]""']",77.06,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,NA,
43099904,Hurry (2007),2007,['Phonics'],NA,['Yes'],NA,Table 3a.,,"['Page 6:\n[¬s]""92[¬e]""']",92,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""7.2[¬e]""']",7.2,,"['Page 10:\n[¬s]""8.5[¬e]""']",8.5,,NA,NA,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""109[¬e]""']",109,,NA,NA,,NA,NA,,"['Page 10:\n[¬s]""9.7[¬e]""']",9.7,,"['Page 10:\n[¬s]""8.1[¬e]""']",8.1,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
43099981,Jenkins (2004),2004,['Phonics'],NA,['Yes'],NA,treatment groups combined 79 (more+less decodable),,"['Page 6:\n[¬s]""The final sample consisted of 39 in the more decodable group, 40 in the less\ndecodable group,[¬e]""']",79,,NA,NA,,NA,NA,,"['Page 21:\n[¬s]""14.97""\n""14.35[¬e]""']",14.656 ,,"['Page 21:\n[¬s]""5.95""\n""5.95[¬e]""']",5.920 ,,NA,NA,,NA,NA,,NA,NA,,"['Page 6:\n[¬s]""nd 20 in the control,[¬e]""']",20,,NA,NA,,NA,NA,,"['Page 21:\n[¬s]""9.76[¬e]""']",9.76,,"['Page 21:\n[¬s]""6.09[¬e]""']",6.09,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43099867,Jimez (2007),2007,['Phonics'],NA,['Yes'],NA,NA,,NA,48,,NA,3.04,,NA,3.57,,NA,3.58,,NA,1.94,,NA,NA,,NA,NA,,NA,NA,,NA,18,,NA,2.83,,NA,1.65,,NA,3.56,,NA,1.77,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
38296632,King (2015),2015,"['Small group tuition', 'Phonics']",NA,['Yes'],NA,"Baseline (After dropout), Endline (ITT), n for ITT only",,"['Page 21:\n[¬s]""86[¬e]""']",86,,"['Page 20:\n[¬s]""81.05[¬e]""']",81.05,,"['Page 20:\n[¬s]""9.91[¬e]""']",9.91,,"['Page 21:\n[¬s]""80.53[¬e]""']",80.53,,"['Page 21:\n[¬s]""(9.26[¬e]""']",9.26,,NA,NA,,NA,NA,,NA,NA,,"['Page 21:\n[¬s]""92[¬e]""']",92,,"['Page 20:\n[¬s]""81.97[¬e]""']",81.97,,"['Page 20:\n[¬s]""(9.31[¬e]""']",9.31,,"['Page 21:\n[¬s]""81.40[¬e]""']",81.40,,"['Page 21:\n[¬s]""8.94[¬e]""']",8.94,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
43099864,Kirk (2009),2009,['Phonics'],NA,['Yes'],NA,NA,,"['Page 8:\n[¬s]""8[¬e]""']",NA,,"['Page 8:\n[¬s]""77.9[¬e]""']",77.9,,"['Page 8:\n[¬s]""3.5[¬e]""']",3.5,,"['Page 8:\n[¬s]""85.4[¬e]""']",85.4,,"['Page 8:\n[¬s]""8.1[¬e]""']",8.1,,NA,NA,,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""8[¬e]""']",NA,,"['Page 8:\n[¬s]""77.8[¬e]""']",77.8,,"['Page 8:\n[¬s]""3.9[¬e]""']",3.9,,"['Page 8:\n[¬s]""78.5[¬e]""']",78.5,,"['Page 8:\n[¬s]""5.3[¬e]""']",5.3,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 8:\n[¬s]""Time 3[¬e]""']",NA,
