id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13
49106836,Ogden (1971) 1_4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(5-13)_MAT_Iowa Test of Basic Skills (Reading),['Mathematics primary outcome'],Secondary outcome(s),SG+(5-13)_MAT_Iowa Test of Basic Skills (Arithmetic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375700,Oldham (1982),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(1-3)_MAT_SAT Reading Achievement,['Other outcome'],Secondary outcome(s),SG+(1-6)_MAT_SAT Reading Achievement,['Other outcome'],Secondary outcome(s),SG+(5-10)_MAT_SAT Reading Achievement,['Mathematics primary outcome'],Secondary outcome(s),SG+(1-3)_MAT_SAT Maths_Achievement,['Other outcome'],Secondary outcome(s),SG+(1-6)_MAT_SAT Maths,['Other outcome'],Secondary outcome(s),SG+(5-10)_MAT_SAT Math Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375701,Peterson (1987) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_California Achievement Test (Reading) ,['Other outcome'],Secondary outcome(s),SA+1_MAT_California Achievement Test (Language),['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Language),['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Reading) ,['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_California Achievement Test (Maths) ,['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Maths) ,['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Language),['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Reading) ,['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Maths) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090189,Peterson (1987) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_California Achievement Test (Reading) ,['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Reading) ,['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Reading) ,['Other outcome'],Primary outcome,SA+1_MAT_California Achievement Test (Language),['Mathematics primary outcome'],Primary outcome,SA+1_MAT_California Achievement Test (Maths),['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Maths),['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Maths),['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Language),['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Language),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090188,Peterson (1987) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_California Achievement Test (Reading) ,['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Reading) ,['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Reading) ,['Other outcome'],Secondary outcome(s),SA+1_MAT_California Achievement Test (Language),['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Language),['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Language),['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_California Achievement Test (Maths),['Other outcome'],Secondary outcome(s),SA+2_MAT_California Achievement Test (Maths),['Other outcome'],Secondary outcome(s),SA+3_MAT_California Achievement Test (Maths),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375575,Phelps (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(5-10)_MAT_Reading,['Mathematics primary outcome'],Secondary outcome(s),SG+(5-10)_MAT_Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375670,Pierson (1992) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SG+(1-6)_MAT_Academic Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090190,Pierson (1992) 1_2,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,SA+(1-6)_MAT__Academic Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375604,Reynolds (1992),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+(1-4)_MAT_ITBS Reading Comprehension ,['Mathematics primary outcome'],Primary outcome,SA+(1-4)_MAT_ITBS Maths,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375578,Roderick (2005) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_Reading Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49106841,Roderick (2005) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_Reading Achievement ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375606,Silberglitt (2006) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(1-7)_MAT_R-CBM ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090195,Spithill (1965),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,SA+(1-5)_MAT_IOWA : language,['Mathematics primary outcome'],Secondary outcome(s),SA+(1-5)_MAT_IOWA maths,['Other outcome'],Secondary outcome(s),SA+(1-5)_MAT_GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375706,Wallihan (1955),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SG+(5-3)_MAT_Reading Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375707,Worth (1960),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SA+1_MAT_CAT (Total Reading),['Mathematics primary outcome'],Secondary outcome(s),SA+1_MAT_CAT (Total Arithmetic),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
