id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40375915,DeSocio (2007),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA (p-value),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375801,Fresko (1985) 1_1,['Mathematics primary outcome'],Secondary outcome(s),Maths-grade 4 (E2 vs C) Posttest,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement-grade 4 (E2 vs C) posttest,['Other outcome'],Secondary outcome(s),Reading-grade 7 (E2 vs C),['Other outcome'],Secondary outcome(s),Maths-grade 7 (E2 vs C) posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336734,Fresko (1985) 1_2,['Other outcome'],Secondary outcome(s),Reading Achievement G4 ,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Achievement G7,['Other outcome'],Secondary outcome(s),Math Achievement G4,['Mathematics primary outcome'],Secondary outcome(s),Math Achievement G7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307051,Gibbs-Roseboro (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,English I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307052,Gordon (2000),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269806,Gordon (2009) M,['Mathematics primary outcome'],Secondary outcome(s),Connecticut Mastery Test (Mathematics),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Connecticut Mastery Test (Reading)-Grade 8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375886,Grossman (1998),['Toolkit primary outcome'],Primary outcome,Grade  Point Average (GPA)  -  Mentorship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375731,Hayes (1998),['Toolkit primary outcome'],Primary outcome,GPA (adjusted post-test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375903,Herrera (2007),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Overall academic performance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375917,Herrera (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Overall Academic Performance (9-month),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307054,Herrera (2013),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Grades,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307056,Holloway (2004),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,['Other outcome'],Secondary outcome(s),GPA (comparison),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40375889,Holt (2007),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Grade Point Average (Posttest means/SDs),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50307073,Johnson (1997),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA: Grade 12 ,['Other outcome'],Secondary outcome(s),GPA: Grade11,['Other outcome'],Secondary outcome(s),GPA: Grade 10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
