id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11,out_type_12,out_label_12,out_tit_12,out_type_13,out_label_13,out_tit_13,out_type_14,out_label_14,out_tit_14
40117160,Ritter (1992),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,Mathematics accuracy - extended school time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117223,Schinke (1988),['Toolkit primary outcome'],Primary outcome,bicultural competence skills (ANOVA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117180,Schinke (2000),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension - extended school time,['Other outcome'],Secondary outcome(s),Overall performance - extended school time,['Writing and spelling primary outcome.'],Secondary outcome(s),Writing performance - extended school time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117166,Shields (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Stanford Achievement Test Total Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117298,Smeallie (1997),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,(ACAvg) score-extending school time ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117168,Sorensen (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Stanford Achievement Test - Reading Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117229,St Pierre (2001),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,Spelling scores-extending school time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296685,Styles (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks,['Other outcome'],Primary outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks+,['Other outcome'],SES/FSM outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks (FSM),['Other outcome'],Secondary outcome(s),Y7 Sentence completion - smgrouptuit/extschooltime Chbooks,['Other outcome'],Secondary outcome(s),Y7 Sentence completion - smgrouptuit/extschooltime Chbooks+,['Other outcome'],Secondary outcome(s),Y7 Passage comprehension - smgrouptuit/extschooltime Chbooks,['Other outcome'],Secondary outcome(s),Y7 Passage comprehension - smgrouptuit/extschooltime Chbooks+,['Other outcome'],SES/FSM outcome,Y7 Reading (NGRT) - smgrouptuit/extschooltime Chbooks+ (FSM),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117231,Tucker (2002),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading GPA (Experimental vs Planned Control),['Other outcome'],Secondary outcome(s),Maths GPA (Experimental vs Planned Control) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117363,U. S. (2003),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Middle Sch: English ,['Other outcome'],Primary outcome,Elem Sch: Reading Test Percentile,['Other outcome'],Primary outcome,Elem Sch: English,['Other outcome'],Secondary outcome(s),Elem: Math,['Other outcome'],Secondary outcome(s),Elem: Science,['Other outcome'],Secondary outcome(s),Elem: Social Studies,['Other outcome'],Secondary outcome(s),Middle Sch: Math,['Other outcome'],Secondary outcome(s),Middle Sch: Science,['Other outcome'],Secondary outcome(s),Middle Sch: Social Studies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117360,Vadasy (1997),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT-R Reading (Raw),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117232,Vandell (2005),['Other outcome'],Primary outcome,Academic Performance (high/high-elementary school),"['Toolkit primary outcome', 'Reading primary outcome', 'Mathematics primary outcome']",Primary outcome,Academic Performance (high/high - middle school),['Other outcome'],Primary outcome,Academic Performance (high/low-elementary),['Other outcome'],Primary outcome,Academic Performance (high/low-middle school),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117182,Walker (2004),['Toolkit primary outcome'],,Changes in GPA score-extending school time,['Other outcome'],Primary outcome,Cahnges in math scores-extending school time,['Other outcome'],Primary outcome,Changes in  reading scores-extending school time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117171,Woolley (1996),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Texas Learning Index (TLI) score on (TAAS),['Other outcome'],Primary outcome,TLI score on (TAAS): Low SES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117237,Zief (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117361,Zimmer (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading achievement - extended school time,['Other outcome'],Primary outcome,Math achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
