id,out_type_1,out_type_2,out_type_3,out_type_4,out_type_5,out_type_6,out_type_7,out_type_8,out_type_9,out_type_10,out_type_11,out_type_12,out_type_13,out_type_14
40397363,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642386,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397364,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336722,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336723,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642391,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642393,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Science primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642394,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336726,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642396,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642401,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642407,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642408,['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA
40642413,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642414,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336740,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336741,NA,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642415,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336744,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Writing and spelling primary outcome.'],['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336743,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Writing and spelling primary outcome.'],['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA
40642416,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336747,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642418,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397433,['Other outcome'],['Science primary outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
40642421,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",['Other outcome'],['Mathematics primary outcome'],['Other outcome'],['Science primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
40642422,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Writing and spelling primary outcome.'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA
40642423,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336750,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642426,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642425,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642427,['Mathematics primary outcome'],['Science primary outcome'],['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642428,"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Mathematics primary outcome'],['Science primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
40642429,"['Toolkit primary outcome', 'Other outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642431,['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome']
45336753,['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Mathematics primary outcome']
40397368,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336754,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642436,['Other outcome'],['Other outcome'],['Mathematics primary outcome'],['Science primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
40642437,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642438,['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA
45336757,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
45336756,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA
40642439,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642440,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336763,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336762,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336761,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336760,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336759,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642442,['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA
40642443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642451,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642453,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336767,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336766,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642455,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336769,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642456,['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Other outcome'],['Toolkit primary outcome'],['Mathematics primary outcome'],NA,NA,NA,NA,NA,NA
40642457,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336770,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336771,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642459,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",['Other outcome'],['Other outcome'],['Writing and spelling primary outcome.'],NA,NA,NA,NA,NA,NA,NA,NA
40397441,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336779,"['Toolkit primary outcome', 'Science primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336778,"['Toolkit primary outcome', 'Science primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397442,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296664,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Reading primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642469,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642471,"['Toolkit primary outcome', 'Reading primary outcome']",['Mathematics primary outcome'],['Writing and spelling primary outcome.'],['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA
40397358,['Toolkit primary outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642473,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397372,['Other outcome'],['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642475,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336786,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336787,['Other outcome'],"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336788,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397359,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336789,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642476,"['Toolkit primary outcome', 'Mathematics primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397373,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336797,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45336796,['Other outcome'],"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40397386,"['Toolkit primary outcome', 'Reading primary outcome']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642482,"['Toolkit primary outcome', 'Mathematics primary outcome']",['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642486,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40642490,"['Toolkit primary outcome', 'Other outcome']",['Other outcome'],['Other outcome'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
