id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7
74069958,Flores (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),TE_SUB_F ratio intervention tutees v control table 1,NA,Secondary outcome(s),TR_SUB_F ratio intervention tutees v control table 1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC_F ratio intervention tutees v control table 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069960,Greene (2018),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,T&T Mathematics fluency,['Other outcome'],Secondary outcome(s),TR_SUB_Mathematics fluency,['Other outcome'],Secondary outcome(s),TE_SUB_Maths Fluency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069961,Greenwood (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T_Academic Activity Composite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069962,Gyanani (1995),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,T&T Verbal & Spatial Ability (Geography),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069963,Hattie (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI Sunshine Fluency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069964,Johnson (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,REC Rhythmic reading test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069965,Kotsopoulos (2009),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,TE_WIAT Written Expression total table 5a and 5d,['Other outcome'],Secondary outcome(s),TE_WIAT Arithmetic table 5a and 5d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069966,Lee (2014),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading skills (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069967,Li (2006) 1_1,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T_ Reading comprehension test (RSA vs CA),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069968,Li (2006) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension (CA vs RS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069969,Li (2006) 1_3,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension test (RSA vs RS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069970,Li (2006) 1_4,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension test (CA vs RS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069971,Li (2012) 1_1,"['Toolkit primary outcome', 'Other outcome']",Primary outcome,TE_PRI_Non Monetary ES from page 344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069972,Li (2012) 1_2,NA,Primary outcome,Academic performance (combined ES),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069973,Mackley (2009),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),REC_LNF,NA,Primary outcome,REC_Nonsense Word DIBELS,NA,Secondary outcome(s),REC_ISF,NA,Secondary outcome(s),REC_PSF2,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069974,Marshak (2011),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,REC_Total gain Scores Table 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069975,Martí-Alcaide (2021),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,T&T_Maths Post test v pre test table 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069976,Mastropieri (2005),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,REC_Chemistry Posttest Peer tutoring v traditional control special ed and general ed combined table 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069977,Mattatall (2017),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T_Reading f ratio in text page 163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069978,McDuffie (2009),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,REC_Peer Tutoring vs non Peer Tutoring table 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069981,Mitchell (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Secondary outcome(s),TE_SUB_Gain second grade tutees post vs pre,NA,Secondary outcome(s),TR_SUB_Gain fourth grade tutors post vs pre,NA,Primary outcome,T&T_Gain in Spelling pre vs post,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069982,Müller (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI_ELFE tutees posttest reading strategy v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069983,Nnamani (2020),"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Primary outcome,REC Expository Essay writing Interest Inventory (EEWII),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069984,Ohadugha (2020),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,BCSAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069985,Oloyede (2019),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,CAT (PT vs TE),['Other outcome'],Secondary outcome(s),CAT (PT vs TPS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069986,Olulowo (2020),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,FAAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069987,Onabanjo (2006),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,MAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069988,Pastore (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading comprehension achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069989,Pilten (2016),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,RCES total scores (posttest),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069990,Puranik (2017),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI_Letter Naming fluency,['Other outcome'],Secondary outcome(s),TE Phonemic Segmentation ,['Other outcome'],Secondary outcome(s),TE Nonsense word fluency - correct letter sounds,['Other outcome'],Secondary outcome(s),TE Nonsense word fluency - whole words read,['Other outcome'],Secondary outcome(s),TE Alphabet writing fluency,['Other outcome'],Secondary outcome(s),TE Spelling,['Writing and spelling primary outcome.'],Secondary outcome(s),TE Sentence writing
74069991,Puranik (2018),NA,Primary outcome,REC Alphabet writing fluency,['Writing and spelling primary outcome.'],Secondary outcome(s),REC Sentence writing correct word sequence,['Other outcome'],Secondary outcome(s),REC sentence writing words written ,"['Toolkit primary outcome', 'Writing and spelling primary outcome.']",Secondary outcome(s),REC Sentence writing quality,NA,NA,NA,NA,NA,NA,NA,NA,NA
74069993,Rafdal (2011) 1_1,['Other outcome'],Secondary outcome(s),REC Rapid letter naming,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC Rapid Letter Sound,['Other outcome'],Secondary outcome(s),REC Segmentation,['Other outcome'],Secondary outcome(s),REC Blending,['Other outcome'],Secondary outcome(s),REC Word ID,['Other outcome'],Secondary outcome(s),REC Word Attack ,NA,NA,NA
