id,pub_author,pub_year,strand_raw,strand_info,toolkit_version,desc_stats_raw,desc_stats_ht,desc_stats_info,desc_stats_CLEAN,n_treat_ht,n_treat_info,n_treat_CLEAN,pre_t_mean_ht,pre_t_mean_info,pre_t_mean_CLEAN,pre_t_sd_ht,pre_t_sd_info,pre_t_sd_CLEAN,post_t_mean_ht_t_sd_ht,post_t_mean_info,post_t_mean_CLEAN,post_t_sd_ht,post_t_sd_info,post_t_sd_CLEAN,gain_t_mean_ht,gain_t_mean_info,gain_t_mean_CLEAN,gain_t_sd_ht,gain_t_sd_info,gain_t_sd_CLEAN,out_t_other_ht,out_t_other_info,out_t_other_CLEAN,n_cont_ht,n_cont_info,n_cont_ht_CLEAN,pre_c_mean_ht,pre_c_mean_info,pre_c_mean_CLEAN,pre_c_sd_ht,pre_c_sd_info,pre_c_sd_CLEAN,post_c_mean_ht,post_c_mean_info,post_c_mean_CLEAN,post_c_sd_ht,post_c_sd_info,post_c_sd_CLEAN,gain_c_mean_ht,gain_c_mean_info,gain_c_mean_CLEAN,gain_c_sd_ht,gain_c_sd_info,gain_c_sd_CLEAN,out_c_other_ht,out_c_other_info,out_c_other_CLEAN,n_treat2_ht,n_treat2_info,n_treat2_CLEAN,pre_t2_mean_ht,pre_t2_mean_info,pre_t2_mean_CLEAN,pre_t2_sd_ht,pre_t2_sd_info,pre_t2_sd_CLEAN,post_t2_mean_ht,post_t2_mean_info,post_t2_mean_CLEAN,post_t2_sd_ht,post_t2_sd_info,post_t2_sd_CLEAN,gain_t2_mean_ht,gain_t2_mean_info,gain_t2_mean_CLEAN,gain_t2_sd_ht,gain_t2_sd_info,gain_t2_sd_CLEAN,out_t2_other_ht,out_t2_other_info,out_t2_other_CLEAN,n_cont2_ht,n_cont2_info,n_cont2_CLEAN,pre_c2_mean_ht,pre_c2_mean_info,pre_c2_mean_CLEAN,pre_c2_sd_ht,pre_c2_sd_info,pre_c2_sd_CLEAN,post_c2_mean_ht,post_c2_mean_info,post_c2_mean_CLEAN,post_c2_sd_ht,post_c2_sd_info,post_c2_sd_CLEAN,gain_c2_mean_ht,gain_c2_mean_info,gain_c2_mean_CLEAN,gain_c2_sd_ht,gain_c2_sd_info,gain_c2_sd_CLEAN,out_c2_other_ht,out_c2_other_info,out_c2_other_CLEAN,follow_up_raw,follow_up_ht,follow_up_info,follow_up_CLEAN
74069963,Hattie (2006),2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069964,Johnson (2011),2011,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],NA,NA,,NA,66,,NA,NA,,NA,NA,,NA,82.09,,NA,31.53,,NA,NA,,NA,NA,,NA,NA,,NA,65,,NA,NA,,NA,NA,,NA,62.09,,NA,36.51,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069965,Kotsopoulos (2009),2009,['Peer tutoring'],NA,NA,['Yes'],NA,NA,,NA,24,,"['Page 64:\n[¬s]""12.13[¬e]""']",12.13,,NA,5.4,,"['Page 64:\n[¬s]""15.12""\n""12.83[¬e]""']",15.12,,NA,5.1,,NA,NA,,NA,NA,,NA,NA,,NA,19,,"['Page 64:\n[¬s]""13.14[¬e]""']",12.35,,NA,4.27,,NA,11,,NA,4.24,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069966,Lee (2014),2014,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],"['Page 8:\n[¬s]""Reading skills[¬e]""']",NA,,"['Page 8:\n[¬s]""Treatment group (n = 53)[¬e]""']",53,,"['Page 8:\n[¬s]""64.22[¬e]""']",64.22,,"['Page 8:\n[¬s]""15.87[¬e]""']",15.87,,"['Page 8:\n[¬s]""71.21[¬e]""']",71.21,,"['Page 8:\n[¬s]""15.24[¬e]""']",15.24,,NA,NA,,NA,NA,,NA,NA,,"['Page 8:\n[¬s]""Control group (n = 52)[¬e]""']",52,,"['Page 8:\n[¬s]""64.99[¬e]""']",64.99,,"['Page 8:\n[¬s]""20.05[¬e]""']",20.05,,"['Page 8:\n[¬s]""64.11[¬e]""']",64.11,,"['Page 8:\n[¬s]""17.98[¬e]""']",17.98,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069967,Li (2006) 1_1,2006,['Peer tutoring'],NA,NA,['Yes'],NA,NA,,"['Page 143:\n[¬s]""114[¬e]""']",114,,NA,-0.52,,NA,0.83,,NA,0.08,,NA,0.86,,NA,NA,,NA,NA,,NA,NA,,"['Page 143:\n[¬s]""56[¬e]""']",56,,NA,-.18,,NA,0.74,,NA,0.46,,NA,0.7,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],NA,NA,
74069968,Li (2006) 1_2,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],"['Page 143:\n[¬s]""Table 1. Means and Standard Deviations on the calibrated reading\ncomprehension scores[¬e]""']",NA,,NA,160,,"['Page 143:\n[¬s]""-0.52[¬e]""']",-0.52,,"['Page 143:\n[¬s]""0.94[¬e]""']",0.94,,"['Page 143:\n[¬s]""0.04[¬e]""']",0.04,,"['Page 143:\n[¬s]""0.86[¬e]""']",0.86,,NA,NA,,NA,NA,,NA,NA,,"['Page 143:\n[¬s]""56[¬e]""']",56,,"['Page 143:\n[¬s]""-0.18[¬e]""']",-0.18,,"['Page 143:\n[¬s]""0.74[¬e]""']",0.74,,"['Page 143:\n[¬s]""0.46[¬e]""']",0.46,,"['Page 143:\n[¬s]""0.70[¬e]""']",0.70,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 143:\n[¬s]""Retention-test[¬e]""']",NA,
74069969,Li (2006) 1_3,2006,['Peer tutoring'],NA,NA,['Yes'],"['Page 176:\n[¬s]""Table 1. Descriptive statistics for each group on calibrated reading\ncomprehension scores[¬e]""']",NA,,"['Page 176:\n[¬s]""191[¬e]""']",191,,"['Page 176:\n[¬s]""0.08[¬e]""']",0.08,,"['Page 176:\n[¬s]""0.81[¬e]""']",0.81,,"['Page 176:\n[¬s]""1.33[¬e]""']",1.33,,"['Page 176:\n[¬s]""0.45[¬e]""']",0.45,,NA,NA,,NA,NA,,NA,NA,,"['Page 176:\n[¬s]""132[¬e]""']",132,,"['Page 176:\n[¬s]""-0.09[¬e]""']",-0.09,,"['Page 176:\n[¬s]""0.96[¬e]""']",0.96,,"['Page 176:\n[¬s]""1.15[¬e]""']",1.15,,"['Page 176:\n[¬s]""0.56[¬e]""']",0.56,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 176:\n[¬s]""Retention test[¬e]""']",NA,
74069970,Li (2006) 1_4,2006,['Peer tutoring'],NA,['MT_2023 (in progress)'],['Yes'],"['Page 176:\n[¬s]""Table 1.[¬e]""']",NA,,"['Page 176:\n[¬s]""204[¬e]""']",204,,"['Page 176:\n[¬s]""-0.15[¬e]""']",-0.15,,"['Page 176:\n[¬s]""0.95[¬e]""']",0.95,,"['Page 176:\n[¬s]""1.15[¬e]""']",1.15,,"['Page 176:\n[¬s]""0.50[¬e]""']",0.5,,NA,NA,,NA,NA,,NA,NA,,"['Page 176:\n[¬s]""132[¬e]""']",132,,"['Page 176:\n[¬s]""-0.09[¬e]""']",-0.09,,"['Page 176:\n[¬s]""0.96[¬e]""']",0.96,,"['Page 176:\n[¬s]""1.15[¬e]""']",1.15,,"['Page 176:\n[¬s]""0.56[¬e]""']",0.56,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['Yes'],"['Page 176:\n[¬s]""Retention test[¬e]""']",NA,
74069971,Li (2012) 1_1,2012,['Peer tutoring'],NA,NA,['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
74069972,Li (2012) 1_2,2012,['Peer tutoring'],NA,['MT_2023 (in progress)'],['No'],NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,NA,NA,,['No'],NA,NA,
