id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10,out_type_11,out_label_11,out_tit_11
46844850,Cairo (2005),['Other outcome'],Secondary outcome(s),TR_SUB Knowledge test of fraction manipulations,['Other outcome'],Secondary outcome(s),TE_SUB Knowledge test of fraction,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,T&T Knowledge test of fraction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093518,Calhoon (2003),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC PALS The Math Operations Test - Revised (MOT-R),['Other outcome'],Secondary outcome(s),REC PALS - Math Concepts and Applications Test,['Other outcome'],Secondary outcome(s),REC PALS - Maths Operations Test - Gain,['Other outcome'],Secondary outcome(s),REC PALS - Math Concepts and Applications Test (Gain),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116223,Carberry (2003),['Other outcome'],Secondary outcome(s),TE_SUB Woodcock Johnson Reading Comprehension - Tutees,['Other outcome'],Secondary outcome(s),TR_SUB Standford Reading comprehension - Tutors,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T Reading comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093351,Carlton (1985),['Other outcome'],Secondary outcome(s),TR_SUB Comprehension Subtest - Gates-MacGinitie Reading Test,['Other outcome'],Secondary outcome(s),TR Vocabulary Subtest - Gates-MacGinitie Reading Test,['Other outcome'],Secondary outcome(s),TE Gates MacGintie Vocabulary,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T Comprehension Gates-MacGinitie ,['Other outcome'],Secondary outcome(s),T&T Vocabulary  - Gates-MacGinitie,['Other outcome'],Secondary outcome(s),TE_SUB Gates MacGintie Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116229,Chu (2017),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,T&T Fractions and Whole Numbers Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46886252,Codding (2011),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC KPALS Test of Early Mathematics Ability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090135,Cooper (2016) PT,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TE_PRI The Basic Number Screening Test (BNST) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093542,Craker (1981),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI Gap Cloze Test,['Other outcome'],Secondary outcome(s),TE Non Standardised Cloze Test,['Other outcome'],Secondary outcome(s),TE Speed of Reading Score,['Other outcome'],Secondary outcome(s),TE Miscue Analysis Comprehending Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093543,Davenport (1999),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Problem solving gain score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093616,Dion (2011),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T Comprehension - Lire pour comprendre,['Other outcome'],Secondary outcome(s),T&T Comprehension - Lire pour comprendre,['Other outcome'],Secondary outcome(s),T&T Word Recognition,['Other outcome'],Secondary outcome(s),T&T Non-word Recognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093544,Duff (1974),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI Metropolitan Reading achievement change scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46844851,Durand (2008),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TE_PRI All course Grade Score,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133886,Early (1998),['Other outcome'],Secondary outcome(s),TR_SUB TAAS Mathematics - Tutors ,['Other outcome'],Secondary outcome(s),TE_SUB TAAS Mathematics - Tutees,"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,T&T TAAS Mathematics - tutors and tutees,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269794,Eldredge (1988) PT,['Other outcome'],Secondary outcome(s),TE Gates Vocab,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI Gates Comp,['Other outcome'],Secondary outcome(s),TE Gates total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093353,Erickson (1972),['Other outcome'],Secondary outcome(s),TR_SUB Gates-McGinite Reading ComprehensionTutors,['Other outcome'],Secondary outcome(s),TE_SUB Gates-McGintie Reading comprehension - Tutees,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,T&T McGinite RC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093472,Fantuzzo (1992),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Math Computation Test - Reciprocal PT (with rewards),['Other outcome'],Secondary outcome(s),REC Math Computation test - Reciprocal PT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093471,Fantuzzo (1995),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Stanford Diagnostic Mathematics Test (RPT & PI v PI),['Other outcome'],Secondary outcome(s),REC Stanford Computation RPT & PI v control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093506,Fisher (2001),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TR_PRI Gates MacGintie Reading Comprehension,['Other outcome'],Secondary outcome(s),TR Gates McGintie Vocabulary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133895,Fitz-Gibbon (1990),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,TR_PRI Fractions test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47269801,Friedman (1990) PT,['Other outcome'],Secondary outcome(s),TE ITBS Reading comp,['Other outcome'],Secondary outcome(s),TE Curriculum reading comp,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,TE_PRI ITBS & curriculum Reading comp,['Other outcome'],Secondary outcome(s),TE Curriculum sight word,['Other outcome'],Secondary outcome(s),TE ITBS Vocab,['Writing and spelling primary outcome.'],Secondary outcome(s),TE ITBS spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093553,Fuchs (1995),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC PALS Maths operations AA,['Other outcome'],Secondary outcome(s),REC PALS Maths operations (LA),['Other outcome'],Secondary outcome(s),REC PALS Maths operations (LD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093524,Fuchs (1997),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Comprehensive Mathematics Test - LA,['Other outcome'],Secondary outcome(s),REC Comprehensive Maths Test - LD,['Other outcome'],Secondary outcome(s),REC Gain - LA - Comprehensive Maths Test,['Other outcome'],Secondary outcome(s),REC Gain - LD - Comprehensive Maths Test,['Other outcome'],Secondary outcome(s),REC LA - TFG vs Contrast - Comprehensive Maths Test,['Other outcome'],Secondary outcome(s),REC LA - SRAF vs Contrast - Comprehensive Maths Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093549,Fuchs (1997),['Other outcome'],Secondary outcome(s),REC PALS CRAB - Questions Correct Average Ability,['Other outcome'],Secondary outcome(s),REC PALS Low Achievement - CRAB - Questions Correct,['Other outcome'],Secondary outcome(s),REC PALS Gain - Average Ability - CRAB - Questions Correct,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC PALS CRAB Questions correct (all),['Other outcome'],Secondary outcome(s),REC PALS CRAB Words correct (All),['Other outcome'],Secondary outcome(s),REC PALS Gain - Low Achievement - CRAB - Questions Correct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093550,Fuchs (1997),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Comprehensive Mathematics Test - Operations Subtest,['Other outcome'],Secondary outcome(s),REC Gain Score - Comprehensive Mathematics Test - Operations Subtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133902,Fuchs (1998),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Mathematics Achievement- Peer Tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics Computation-Peer tutoring,['Other outcome'],Secondary outcome(s),REC Mathematics Applications- Peer tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093551,Fuchs (1999),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC PALS Reading Comprehension-Peer Tutoring,['Other outcome'],Secondary outcome(s),REC PALS Reading Comprehension-Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093618,Fuchs (1999),['Other outcome'],Secondary outcome(s),REC PALS Reading Comprehension-Peer Tutoring,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,REC PALS  Reading Comprehension-Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37093523,Fuchs (2001),"['Toolkit primary outcome', 'Mathematics primary outcome']",Primary outcome,REC Mathematics-Peer Tutoring,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
