id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9
37671585,Sibieta (2016),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,"APT, CELF, YARC language skills (30 wk)",['Other outcome'],Secondary outcome(s),"APT, CELF, YARC (20 weeks)",['Other outcome'],Secondary outcome(s),YARC (30 wk),['Other outcome'],Secondary outcome(s),YARC (20 wk),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38296673,Sibieta (2016),['Other outcome'],Secondary outcome(s),NGRT - REACH,['Other outcome'],Secondary outcome(s),YARC-RC,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT REACH RI Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671586,Styles (2015),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,NGRT - Reading Score,['Other outcome'],Secondary outcome(s),Sentence Completion Score,['Other outcome'],SES/FSM outcome,NGRT (FSM) - Reading Score ,['Other outcome'],Secondary outcome(s),NGRT - Passage Comprehensive Score,['Other outcome'],Secondary outcome(s),CELF - Recalling Sentences,['Other outcome'],Secondary outcome(s),CELF - Recalling Sentences FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671517,Swain (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Burt Word Recognition Test,['Other outcome'],Secondary outcome(s),Sound Linkage Test,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43099931,Vadasy (2005),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT Reading Comprehension RP,['Other outcome'],Secondary outcome(s),WRAT Reading Comprehension WS,['Other outcome'],Secondary outcome(s),WRAT Word Identification RP,['Other outcome'],Secondary outcome(s),WRAT Word Identification WS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671592,Vadasy (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,K reading accuracy - teaching assistants - post-test (means and sd's),['Other outcome'],Secondary outcome(s),K reading accuracy - teaching assistants - post-test (Anova),['Other outcome'],Secondary outcome(s),K reading efficiency - teaching assistants - post-test (Anova),['Other outcome'],Secondary outcome(s),K reading efficiency - teaching assistants - post-test (means and sd's),['Other outcome'],Secondary outcome(s),K reading fluency - teaching assistants - post-test (Anova),['Other outcome'],Secondary outcome(s),K reading fluency - teaching assistants - post-test (means and sds),['Other outcome'],Secondary outcome(s),K reading comprehension - teaching assistants - post-test (means and sd's),['Writing and spelling primary outcome.'],Secondary outcome(s),K spelling - teaching assistants - post-test (Anova),['Other outcome'],Secondary outcome(s),K spelling - teaching assistants - post-test (means and sds)
37671636,Vadasy (2007),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Accuracy Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671638,Vadasy (2008),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension = GORT Comprehension subtest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671637,Vadasy (2008) TA,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Comprehension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090199,Vadasy (2008) TA,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Wood Cock Passage Comprehension Posttest,['Other outcome'],Secondary outcome(s),Woodcock Word Reading Accuracy Posttest,['Other outcome'],Secondary outcome(s),TOWRE Word Reading Efficiency Posttest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671588,Vadasy (2009),['Other outcome'],Secondary outcome(s),G2/G3 word-level (single letter sounds) - teaching assistants,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,G2/G3 reading (Cloze test) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 word-level (letter combo sounds) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 word-level (word reading) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading fluency (PRF-U DIBELS) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading fluency (PRF-A DIBELS) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading (multiple choice) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading (multiple choice - fluency based) - teaching assistants,['Other outcome'],Secondary outcome(s),G2/G3 reading fluency (fluency rate) - teaching assistants
37671589,Vadasy (2010),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension ,['Other outcome'],Secondary outcome(s),Phonological Awareness,['Other outcome'],Secondary outcome(s),Passage Reading Fluency ,['Other outcome'],Secondary outcome(s),Word Reading,['Writing and spelling primary outcome.'],Secondary outcome(s),Spelling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671614,Vadasy (2013),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,teaching assistants -  word reading (WRMT-R/NU) multilevel,['Other outcome'],Secondary outcome(s),teaching assistants - reading vocabulary (WRMT-R/NU) multilevel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43090202,Wang (2008) TA,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Comprehension-Teaching Assistants,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671616,Welch (1995),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Reading Scores from CRT (Criterion Referenced Tests) ,['Mathematics primary outcome'],Secondary outcome(s),Maths Scores from CRT (Criterion Referenced Tests) ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671591,Word (1990),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Total Reading,['Mathematics primary outcome'],Secondary outcome(s),Total Math,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
